lr_id,source,target,18321_a,24774_d,54023_b,56784_c,comparability,n_ir_tested,n_aih_tested,n_ir_notNA,n_aih_notNA,irHep_mean,AIH_mean,irHep_min,irHep_max,AIH_min,AIH_max,log2FC,is_strict_eligible,coherent_strict_irHep,coherent_strict_AIH,coherent_strict,enriched_strict
CSF,CD8+ T cell 2,Stellate cell,3.51304905874097e-05,2.52245224657203e-05,1.46190847726105e-05,2.198830776661e-05,all4,2,2,2,2,3.0177506526565e-05,1.83036962696103e-05,2.52245224657203e-05,3.51304905874097e-05,1.46190847726105e-05,2.198830776661e-05,0.718561311672298,TRUE,TRUE,FALSE,TRUE,irHepatitis
CCL,CD8+ T cell 3,Hepatocyte 1,1.63894356424675e-05,2.48587110902175e-05,4.20077619700929e-05,2.59259342480343e-05,all4,2,2,2,2,2.06240733663425e-05,3.39668481090636e-05,1.63894356424675e-05,2.48587110902175e-05,2.59259342480343e-05,4.20077619700929e-05,-0.717336215793771,TRUE,FALSE,TRUE,TRUE,AIH
FN1,CD8+ T cell 2,CD8+ T cell 3,0.000239820388449037,0.000265366111512658,0.000169651241194977,0.000137642370761044,all4,2,2,2,2,0.000252593249980848,0.000153646805978011,0.000239820388449037,0.000265366111512658,0.000137642370761044,0.000169651241194977,0.71686777961468,TRUE,TRUE,FALSE,TRUE,irHepatitis
CCL,Hepatocyte 3,Macrophage 2,7.71617816303542e-05,6.08556171160797e-05,4.03150649874735e-05,4.35929532009975e-05,all4,2,2,2,2,6.9008699373217e-05,4.19540090942355e-05,6.08556171160797e-05,7.71617816303542e-05,4.03150649874735e-05,4.35929532009975e-05,0.716759580397179,TRUE,TRUE,FALSE,TRUE,irHepatitis
CSF,Macrophage 2,Stellate cell,8.74957036291326e-06,6.75532764444284e-06,5.19378997060084e-06,4.1762170403121e-06,all4,2,2,2,2,7.75244900367805e-06,4.68500350545647e-06,6.75532764444284e-06,8.74957036291326e-06,4.1762170403121e-06,5.19378997060084e-06,0.715813609480535,TRUE,TRUE,FALSE,TRUE,irHepatitis
CCL,Hepatocyte 1,CD8+ T cell 2,0.000243383271588598,0.000200778538280675,0.000199461714927979,7.10083666949355e-05,all4,2,2,2,2,0.000222080904934636,0.000135235040811457,0.000200778538280675,0.000243383271588598,7.10083666949355e-05,0.000199461714927979,0.715241466948831,TRUE,TRUE,FALSE,TRUE,irHepatitis
FN1,Hepatocyte 2,IgG+ B cell,6.81346231254731e-05,4.86758780466244e-05,4.34420733697368e-05,2.76675744106633e-05,all4,2,2,2,2,5.84052505860488e-05,3.55548238902e-05,4.86758780466244e-05,6.81346231254731e-05,2.76675744106633e-05,4.34420733697368e-05,0.714628392352176,TRUE,TRUE,FALSE,TRUE,irHepatitis
CCL,CD8+ T cell 2,Hepatocyte 3,2.53457699191277e-05,2.47300864014988e-05,5.34977067090624e-05,2.87329180404269e-05,all4,2,2,2,2,2.50379281603133e-05,4.11153123747447e-05,2.47300864014988e-05,2.53457699191277e-05,2.87329180404269e-05,5.34977067090624e-05,-0.713540739941521,TRUE,FALSE,TRUE,TRUE,AIH
VEGF,Hepatocyte 2,Hepatocyte 4,3.59564333299046e-05,3.73538091498107e-05,3.11514214843831e-05,1.35320616687824e-05,all4,2,2,2,2,3.66551212398576e-05,2.23417415765828e-05,3.59564333299046e-05,3.73538091498107e-05,1.35320616687824e-05,3.11514214843831e-05,0.712013443245915,TRUE,TRUE,FALSE,TRUE,irHepatitis
FN1,Hepatocyte 3,IgG+ B cell,3.54724407524731e-05,4.57496700724141e-05,1.81643775042768e-05,3.16171345094556e-05,all4,2,2,2,2,4.06110554124436e-05,2.48907560068662e-05,3.54724407524731e-05,4.57496700724141e-05,1.81643775042768e-05,3.16171345094556e-05,0.704251172830948,TRUE,TRUE,FALSE,TRUE,irHepatitis
FN1,CD4+ T cell,IgM+ B cell,6.85039370988662e-05,6.2581947647626e-05,3.35938561113573e-05,4.68246320449894e-05,all4,2,2,2,2,6.55429423732461e-05,4.02092440781733e-05,6.2581947647626e-05,6.85039370988662e-05,3.35938561113573e-05,4.68246320449894e-05,0.703668639094651,TRUE,TRUE,FALSE,TRUE,irHepatitis
IL2,IgG+ plasmablast / plasma cell,CD8+ T cell 1,8.18720553018297e-06,3.92229104113241e-06,3.72276830301503e-06,3.66463210481944e-06,all4,2,2,2,2,6.05474828565769e-06,3.69370020391724e-06,3.92229104113241e-06,8.18720553018297e-06,3.66463210481944e-06,3.72276830301503e-06,0.699569964001872,TRUE,TRUE,FALSE,TRUE,irHepatitis
CSF,IgM+ B cell,Stellate cell,1.64897080658697e-05,1.08132944047535e-05,8.72409513826246e-06,8.06401895231349e-06,all4,2,2,2,2,1.36515012353116e-05,8.39405704528798e-06,1.08132944047535e-05,1.64897080658697e-05,8.06401895231349e-06,8.72409513826246e-06,0.695719541614973,TRUE,TRUE,FALSE,TRUE,irHepatitis
CSF,IgM+ B cell,CD8+ T cell 3,1.11080321708026e-05,1.30418173444473e-05,8.19054854501246e-06,6.74196426312944e-06,all4,2,2,2,2,1.20749247576249e-05,7.46625640407095e-06,1.11080321708026e-05,1.30418173444473e-05,6.74196426312944e-06,8.19054854501246e-06,0.686990664882706,TRUE,TRUE,FALSE,TRUE,irHepatitis
CCL,Macrophage 1,Hepatocyte 1,1.37424691482676e-05,9.37947232068151e-06,2.25159364120154e-05,1.46162284007446e-05,all4,2,2,2,2,1.15609707344745e-05,1.856608240638e-05,9.37947232068151e-06,1.37424691482676e-05,1.46162284007446e-05,2.25159364120154e-05,-0.679200294374571,TRUE,FALSE,TRUE,TRUE,AIH
