lr_id,source,target,18321_a,24774_d,54023_b,56784_c,comparability,n_ir_tested,n_aih_tested,n_ir_notNA,n_aih_notNA,irHep_mean,AIH_mean,irHep_min,irHep_max,AIH_min,AIH_max,log2FC,is_strict_eligible,coherent_strict_irHep,coherent_strict_AIH,coherent_strict,enriched_strict,enriched_presence
CCL3-CCR5,Macrophage 2,CD8+ T cell 1,,,3.13983117748754e-06,,partial,0,1,0,1,,3.13983117748754e-06,,,,,,FALSE,FALSE,FALSE,FALSE,,
CCL3-CCR5,Macrophage 2,CD8+ T cell 2,,,1.46770242336025e-06,,partial,0,1,0,1,,1.46770242336025e-06,,,,,,FALSE,FALSE,FALSE,FALSE,,
CCL3-CCR5,Macrophage 2,CD8+ T cell 3,,,1.38362372585333e-06,,partial,0,1,0,1,,1.38362372585333e-06,,,,,,FALSE,FALSE,FALSE,FALSE,,
CCL3-CCR5,Macrophage 2,Cholangiocyte,,,1.87406358510575e-06,,partial,0,1,0,1,,1.87406358510575e-06,,,,,,FALSE,FALSE,FALSE,FALSE,,
CCL3-CCR5,Macrophage 2,Hepatocyte 1,,,1.1393224239866e-07,,partial,0,1,0,1,,1.1393224239866e-07,,,,,,FALSE,FALSE,FALSE,FALSE,,
CCL3-CCR5,Macrophage 2,Hepatocyte 2,,,1.39427048066337e-07,,partial,0,1,0,1,,1.39427048066337e-07,,,,,,FALSE,FALSE,FALSE,FALSE,,
CCL3-CCR5,Macrophage 2,Hepatocyte 3,,,6.13294961190042e-08,,partial,0,1,0,1,,6.13294961190042e-08,,,,,,FALSE,FALSE,FALSE,FALSE,,
CCL3-CCR5,Macrophage 2,Hepatocyte 4,,,4.87900212700173e-08,,partial,0,1,0,1,,4.87900212700173e-08,,,,,,FALSE,FALSE,FALSE,FALSE,,
CCL3-CCR5,Macrophage 2,Ig+ hepatocyte,,,2.7528448084626e-07,,partial,0,1,0,1,,2.7528448084626e-07,,,,,,FALSE,FALSE,FALSE,FALSE,,
CCL3-CCR5,Macrophage 2,IgG+ B cell,,,4.49950914007479e-07,,partial,0,1,0,1,,4.49950914007479e-07,,,,,,FALSE,FALSE,FALSE,FALSE,,
CCL3-CCR5,Macrophage 2,IgG+ plasmablast / plasma cell,,,6.50326063654717e-07,,partial,0,1,0,1,,6.50326063654717e-07,,,,,,FALSE,FALSE,FALSE,FALSE,,
CCL3-CCR5,Macrophage 2,IgM+ B cell,,,1.96498450118261e-06,,partial,0,1,0,1,,1.96498450118261e-06,,,,,,FALSE,FALSE,FALSE,FALSE,,
CCL3-CCR5,Macrophage 2,Macrophage 1,,,1.00910626824993e-06,,partial,0,1,0,1,,1.00910626824993e-06,,,,,,FALSE,FALSE,FALSE,FALSE,,
CCL3-CCR5,Macrophage 2,Macrophage 2,,,1.73187346160364e-06,,partial,0,1,0,1,,1.73187346160364e-06,,,,,,FALSE,FALSE,FALSE,FALSE,,
CCL3-CCR5,Macrophage 2,Sinusoidal endothelial cell,,,4.22535746646378e-07,,partial,0,1,0,1,,4.22535746646378e-07,,,,,,FALSE,FALSE,FALSE,FALSE,,
