lr_id,source,target,total_flow,mean_flow,n_source,n_target,sample_id,condition,kind
IL15-IL15RA_IL2RB_IL2RG,IgG+ plasmablast / plasma cell,IgM+ B cell,0.158123046183631,3.29959196577003e-06,147,326,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,IgG+ plasmablast / plasma cell,Macrophage 1,0.231516723021507,9.29718827641002e-07,147,1694,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,IgG+ plasmablast / plasma cell,Stellate cell,0.174033501083338,8.19308905130702e-07,147,1445,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,IgM+ B cell,CD4+ T cell,6.67694656966574,2.83676332344788e-05,326,722,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,IgM+ B cell,CD8+ T cell 1,5.75408695077039,1.23516959192588e-05,326,1429,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,IgM+ B cell,CD8+ T cell 2,0.0030677160678591,8.11221723042918e-08,326,116,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,IgM+ B cell,CD8+ T cell 3,0.994412250442249,1.84869353121816e-05,326,165,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,IgM+ B cell,Cholangiocyte,0.220723395385111,1.72720823983591e-06,326,392,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,IgM+ B cell,Hepatocyte 1,0.0713754642431615,4.34842386991438e-08,326,5035,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,IgM+ B cell,IgG+ plasmablast / plasma cell,0.0682561302681297,1.42431722941717e-06,326,147,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,IgM+ B cell,IgM+ B cell,0.132946656285575,1.25095653097195e-06,326,326,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,IgM+ B cell,Macrophage 1,0.556277538161027,1.00730390581161e-06,326,1694,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,IgM+ B cell,Sinusoidal endothelial cell,0.000657626613374557,2.19745049044521e-09,326,918,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,IgM+ B cell,Stellate cell,2.13705008753469,4.53658710496251e-06,326,1445,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Macrophage 1,CD4+ T cell,13.0130023624885,1.06396393025478e-05,1694,722,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Macrophage 1,CD8+ T cell 1,34.742913450247,1.43522701248497e-05,1694,1429,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Macrophage 1,CD8+ T cell 2,4.13046742137345,2.10197625563523e-05,1694,116,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Macrophage 1,CD8+ T cell 3,8.94997680939967,3.20202383077517e-05,1694,165,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Macrophage 1,Cholangiocyte,3.13836135315799,4.72610617479157e-06,1694,392,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Macrophage 1,Hepatocyte 1,4.00077480050669,4.69063052200909e-07,1694,5035,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Macrophage 1,IgG+ plasmablast / plasma cell,1.19050519554336,4.78079976364505e-06,1694,147,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Macrophage 1,IgM+ B cell,1.43563893989424,2.59964606205633e-06,1694,326,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Macrophage 1,Macrophage 1,17.5905521792198,6.12988970699413e-06,1694,1694,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Macrophage 1,Sinusoidal endothelial cell,0.0844616488702949,5.43129595357026e-08,1694,918,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Macrophage 1,Stellate cell,8.0198213623441,3.27629833866898e-06,1694,1445,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Macrophage 2,CD4+ T cell,10.1246435456674,1.01469261955929e-05,1382,722,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Macrophage 2,CD8+ T cell 1,17.1791021194252,8.69881689877813e-06,1382,1429,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Macrophage 2,CD8+ T cell 2,1.12419480180678,7.01254305234029e-06,1382,116,18321_a,irHepatitis,pair
