lr_id,source,target,18321_a,24774_d,54023_b,56784_c,comparability,n_ir_tested,n_aih_tested,n_ir_notNA,n_aih_notNA,irHep_mean,AIH_mean,irHep_min,irHep_max,AIH_min,AIH_max,log2FC,is_strict_eligible,coherent_strict_irHep,coherent_strict_AIH,coherent_strict,enriched_strict,enriched_presence
CSF1-CSF1R,Vascular endothelial cell,Hepatocyte 1,1.45699249178628e-05,4.72492541622262e-06,1.69634578412058e-06,2.40923053245919e-06,all4,2,2,2,2,9.6474251670427e-06,2.05278815828988e-06,4.72492541622262e-06,1.45699249178628e-05,1.69634578412058e-06,2.40923053245919e-06,2.20705138676043,TRUE,TRUE,FALSE,TRUE,irHepatitis,
IL15-IL15RA_IL2RB_IL2RG,Cholangiocyte,Sinusoidal endothelial cell,1.60402803487111e-07,0,7.48554657422124e-07,3.29447165411803e-07,all4,2,2,2,2,8.02014017435554e-08,5.39000911416964e-07,0,1.60402803487111e-07,3.29447165411803e-07,7.48554657422124e-07,-2.20609768752851,TRUE,FALSE,TRUE,TRUE,AIH,
IL15-IL15RA_IL2RB_IL2RG,Hepatocyte 3,CD8+ T cell 3,9.46164729559958e-07,1.48787415863901e-06,2.64346539787817e-07,1.90555880586635e-07,all4,2,2,2,2,1.21701944409948e-06,2.27451210187226e-07,9.46164729559958e-07,1.48787415863901e-06,1.90555880586635e-07,2.64346539787817e-07,2.20446658191725,TRUE,TRUE,FALSE,TRUE,irHepatitis,
MHC-I,CD4+ T cell,CD8+ T cell 1,0.000488987577633408,0.000611399578932282,0.00011691819746277,0.000121873869812499,all4,2,2,2,2,0.000550193578282845,0.000119396033637635,0.000488987577633408,0.000611399578932282,0.00011691819746277,0.000121873869812499,2.2037422805702,TRUE,TRUE,FALSE,TRUE,irHepatitis,
CSF1-CSF1R,Cholangiocyte,Cholangiocyte,0.000365281895001571,0.000371842204510507,9.56773967703589e-05,6.44738314274928e-05,all4,2,2,2,2,0.000368562049756039,8.00756140989259e-05,0.000365281895001571,0.000371842204510507,6.44738314274928e-05,9.56773967703589e-05,2.20181375475671,TRUE,TRUE,FALSE,TRUE,irHepatitis,
FN1-CD44,IgG+ B cell,Hepatocyte 2,1.88356562663391e-06,6.2514502175305e-07,2.23001855082298e-07,2.49578918993847e-07,all4,2,2,2,2,1.25435532419348e-06,2.36290387038072e-07,6.2514502175305e-07,1.88356562663391e-06,2.23001855082298e-07,2.49578918993847e-07,2.20069677614373,TRUE,TRUE,FALSE,TRUE,irHepatitis,
VEGFA-FLT1,IgG+ B cell,Vascular endothelial cell,0.000129301446589171,0.000216342990211243,2.94869918021811e-05,4.56938649404743e-05,all4,2,2,2,2,0.000172822218400207,3.75904283713277e-05,0.000129301446589171,0.000216342990211243,2.94869918021811e-05,4.56938649404743e-05,2.19944882750504,TRUE,TRUE,FALSE,TRUE,irHepatitis,
CCL14-CCR1,Macrophage 1,Cholangiocyte,2.14153148458075e-05,1.07305628721352e-05,3.05730005855725e-06,3.87031850709922e-06,all4,2,2,2,2,1.60729388589714e-05,3.46380928282824e-06,1.07305628721352e-05,2.14153148458075e-05,3.05730005855725e-06,3.87031850709922e-06,2.19905423285443,TRUE,TRUE,FALSE,TRUE,irHepatitis,
FN1-SDC1,Macrophage 2,Macrophage 2,3.53282287766409e-05,3.78898946951253e-05,5.71887148266467e-06,1.01624070224832e-05,all4,2,2,2,2,3.66090617358831e-05,7.94063925257394e-06,3.53282287766409e-05,3.78898946951253e-05,5.71887148266467e-06,1.01624070224832e-05,2.19824740234225,TRUE,TRUE,FALSE,TRUE,irHepatitis,
IL15-IL15RA_IL2RB_IL2RG,CD4+ T cell,IgM+ B cell,1.6701367934096e-06,3.19547258859831e-07,1.96918812556286e-06,7.49636632856587e-06,all4,2,2,2,2,9.94842026134713e-07,4.73277722706437e-06,3.19547258859831e-07,1.6701367934096e-06,1.96918812556286e-06,7.49636632856587e-06,-2.19808816295869,TRUE,FALSE,TRUE,TRUE,AIH,
FN1-SDC1,Vascular endothelial cell,Stellate cell,4.33817756556977e-05,7.92044596656341e-05,1.10971087627552e-05,1.55498109852075e-05,all4,2,2,2,2,6.12931176606659e-05,1.33234598739814e-05,4.33817756556977e-05,7.92044596656341e-05,1.10971087627552e-05,1.55498109852075e-05,2.1978037643012,TRUE,TRUE,FALSE,TRUE,irHepatitis,
CCL5-CCR1,Macrophage 2,CD4+ T cell,2.6869264622711e-05,1.01244265936126e-05,4.47211084026572e-06,3.52002343097863e-06,all4,2,2,2,2,1.84968456081618e-05,3.99606713562217e-06,1.01244265936126e-05,2.6869264622711e-05,3.52002343097863e-06,4.47211084026572e-06,2.19749087422767,TRUE,TRUE,FALSE,TRUE,irHepatitis,
CCL5-CCR1,Sinusoidal endothelial cell,IgG+ plasmablast / plasma cell,3.76793722735271e-07,1.23254999319003e-06,4.98515877364585e-06,2.71125804378449e-06,all4,2,2,2,2,8.04671857962648e-07,3.84820840871517e-06,3.76793722735271e-07,1.23254999319003e-06,2.71125804378449e-06,4.98515877364585e-06,-2.1936747887977,TRUE,FALSE,TRUE,TRUE,AIH,
CCL14-CCR1,Macrophage 2,Cholangiocyte,1.54100495336354e-05,1.39387644226381e-05,2.70634327266644e-06,3.64160066794768e-06,all4,2,2,2,2,1.46744069781368e-05,3.17397197030706e-06,1.39387644226381e-05,1.54100495336354e-05,2.70634327266644e-06,3.64160066794768e-06,2.19243844032717,TRUE,TRUE,FALSE,TRUE,irHepatitis,
FN1-SDC1,Vascular endothelial cell,CD8+ T cell 3,7.04760540037179e-05,3.14781174424072e-05,1.04389022495478e-05,1.17989935395843e-05,all4,2,2,2,2,5.09770857230625e-05,1.11189478945661e-05,3.14781174424072e-05,7.04760540037179e-05,1.04389022495478e-05,1.17989935395843e-05,2.19209891368437,TRUE,TRUE,FALSE,TRUE,irHepatitis,
MHC-I,CD4+ T cell,IgM+ B cell,0.00046481746058924,0.000439101558816995,7.48354061575311e-05,0.000122946459955909,all4,2,2,2,2,0.000451959509703118,9.889093305672e-05,0.000439101558816995,0.00046481746058924,7.48354061575311e-05,0.000122946459955909,2.19175084353202,TRUE,TRUE,FALSE,TRUE,irHepatitis,
HLA-B-CD8A,Macrophage 2,CD8+ T cell 2,0.000251356808441735,0.000239607186453096,4.44690282589577e-05,6.29354121946042e-05,all4,2,2,2,2,0.000245481997447415,5.3702220226781e-05,0.000239607186453096,0.000251356808441735,4.44690282589577e-05,6.29354121946042e-05,2.1915831353677,TRUE,TRUE,FALSE,TRUE,irHepatitis,
FN1-CD44,CD8+ T cell 3,Hepatocyte 1,1.54660561474877e-06,8.5895866522335e-07,6.49959919321705e-06,4.82063332314123e-06,all4,2,2,2,2,1.20278213998606e-06,5.66011625817914e-06,8.5895866522335e-07,1.54660561474877e-06,4.82063332314123e-06,6.49959919321705e-06,-2.19131952831855,TRUE,FALSE,TRUE,TRUE,AIH,
FN1-SDC1,IgM+ B cell,IgG+ B cell,6.40768036088684e-05,7.05818632222288e-05,1.97678546114043e-05,9.64840260823392e-06,all4,2,2,2,2,6.73293334155486e-05,1.47081286098191e-05,6.40768036088684e-05,7.05818632222288e-05,9.64840260823392e-06,1.97678546114043e-05,2.19104525911047,TRUE,TRUE,FALSE,TRUE,irHepatitis,
CCL14-CCR1,Hepatocyte 3,CD8+ T cell 2,3.79816788099831e-05,1.89335535766558e-05,5.90121192656564e-06,6.49832551831094e-06,all4,2,2,2,2,2.84576161933195e-05,6.19976872243829e-06,1.89335535766558e-05,3.79816788099831e-05,5.90121192656564e-06,6.49832551831094e-06,2.19006039630893,TRUE,TRUE,FALSE,TRUE,irHepatitis,
FN1-CD44,IgG+ B cell,CD4+ T cell,3.67117715061687e-05,8.01281788146364e-05,1.39477876113429e-05,1.16032311974742e-05,all4,2,2,2,2,5.84199751604025e-05,1.27755094044085e-05,3.67117715061687e-05,8.01281788146364e-05,1.16032311974742e-05,1.39477876113429e-05,2.18896614005014,TRUE,TRUE,FALSE,TRUE,irHepatitis,
CCL5-CCR1,Macrophage 2,Macrophage 1,4.41979975707354e-05,5.32877674992091e-05,1.08506135450273e-05,1.04824198921995e-05,all4,2,2,2,2,4.87428825349723e-05,1.06665167186134e-05,4.41979975707354e-05,5.32877674992091e-05,1.04824198921995e-05,1.08506135450273e-05,2.18717718360222,TRUE,TRUE,FALSE,TRUE,irHepatitis,
VEGFA-FLT1,Hepatocyte 1,Cholangiocyte,2.31250448771254e-05,1.97816231082885e-05,3.03533660112696e-06,6.31377675104944e-06,all4,2,2,2,2,2.1453333992707e-05,4.6745566760882e-06,1.97816231082885e-05,2.31250448771254e-05,3.03533660112696e-06,6.31377675104944e-06,2.18708651657853,TRUE,TRUE,FALSE,TRUE,irHepatitis,
HLA-B-CD8A,CD8+ T cell 2,IgM+ B cell,6.9015538831773e-05,1.90154271207302e-05,1.02472973376927e-05,9.03963908482864e-06,all4,2,2,2,2,4.40154829762516e-05,9.64346821126068e-06,1.90154271207302e-05,6.9015538831773e-05,9.03963908482864e-06,1.02472973376927e-05,2.18494268213843,TRUE,TRUE,FALSE,TRUE,irHepatitis,
