cluster,n_cells,marker,marker_class,mean_logexpr,pct_cells_pos,mean_trm_score,pct_high
Vascular endothelial cell,4006,ITGA1,TRM,2.21182763651238,36.4702945581628,0.565309702034499,42.2116824762856
Vascular endothelial cell,4006,ITGAE,TRM,0.213539436715202,3.94408387418872,0.565309702034499,42.2116824762856
Vascular endothelial cell,4006,RUNX3,TRM,0.22591171738094,4.21867199201198,0.565309702034499,42.2116824762856
Vascular endothelial cell,4006,ZNF683,TRM,0.0338213220045046,0.624063904143784,0.565309702034499,42.2116824762856
Macrophage 1,15144,CXCR6,TRM,0.379730012480015,8.27390385631273,0.545226912522078,45.1796090861067
Macrophage 1,15144,ITGA1,TRM,0.983840224930291,20.7210776545166,0.545226912522078,45.1796090861067
Macrophage 1,15144,ITGAE,TRM,0.459435071593173,9.89830956154252,0.545226912522078,45.1796090861067
Macrophage 1,15144,RUNX3,TRM,0.847863135710428,18.3042789223455,0.545226912522078,45.1796090861067
Macrophage 1,15144,ZNF683,TRM,0.0552661178964808,1.19519281563656,0.545226912522078,45.1796090861067
IgG+ plasmablast / plasma cell,6192,CXCR6,TRM,0.292798612564681,6.18540051679587,0.523868438782406,42.781007751938
IgG+ plasmablast / plasma cell,6192,ITGA1,TRM,1.06075443902315,21.0271317829457,0.523868438782406,42.781007751938
IgG+ plasmablast / plasma cell,6192,ITGAE,TRM,0.393530742827116,8.23643410852713,0.523868438782406,42.781007751938
IgG+ plasmablast / plasma cell,6192,RUNX3,TRM,0.793759200655236,16.6343669250646,0.523868438782406,42.781007751938
IgG+ plasmablast / plasma cell,6192,ZNF683,TRM,0.0784991988418505,1.61498708010336,0.523868438782406,42.781007751938
Cholangiocyte,6328,CXCR6,TRM,0.28212657374048,5.76801517067004,0.520575405978872,40.5183312262958
Cholangiocyte,6328,ITGA1,TRM,1.23347210803023,24.3836915297092,0.520575405978872,40.5183312262958
Cholangiocyte,6328,ITGAE,TRM,0.429336051927437,8.65992414664981,0.520575405978872,40.5183312262958
Cholangiocyte,6328,RUNX3,TRM,0.565485982392852,11.2989886219975,0.520575405978872,40.5183312262958
Cholangiocyte,6328,ZNF683,TRM,0.0924563138033618,1.8173198482933,0.520575405978872,40.5183312262958
Macrophage 2,12597,CXCR6,TRM,0.183928291831597,3.16742081447964,0.350498030727986,26.0855759307772
Macrophage 2,12597,ITGA1,TRM,0.62072445665815,10.7168373422243,0.350498030727986,26.0855759307772
Macrophage 2,12597,ITGAE,TRM,0.248603752754617,4.31848852901484,0.350498030727986,26.0855759307772
Macrophage 2,12597,RUNX3,TRM,0.657918550251078,11.4471699611018,0.350498030727986,26.0855759307772
Macrophage 2,12597,ZNF683,TRM,0.041315102144487,0.722394220846233,0.350498030727986,26.0855759307772
Hepatocyte 3,5347,CXCR6,TRM,0.0900670931756726,1.30914531512998,0.326999524258956,22.5360014961661
Hepatocyte 3,5347,ITGA1,TRM,1.34200637801177,19.1322236768281,0.326999524258956,22.5360014961661
Hepatocyte 3,5347,ITGAE,TRM,0.0862385745198517,1.25303908733869,0.326999524258956,22.5360014961661
Hepatocyte 3,5347,RUNX3,TRM,0.0963416023358711,1.44005984664298,0.326999524258956,22.5360014961661
Hepatocyte 3,5347,ZNF683,TRM,0.020343973251616,0.299233214886852,0.326999524258956,22.5360014961661
IgG+ B cell,4997,CXCR6,TRM,0.188747712780075,3.00180108064839,0.297309713923616,21.3928357014209
IgG+ B cell,4997,ITGA1,TRM,0.672678566163735,10.7264358615169,0.297309713923616,21.3928357014209
IgG+ B cell,4997,ITGAE,TRM,0.215034410449314,3.38202921753052,0.297309713923616,21.3928357014209
IgG+ B cell,4997,RUNX3,TRM,0.356859296144375,5.74344606764058,0.297309713923616,21.3928357014209
IgG+ B cell,4997,ZNF683,TRM,0.0532285840805798,0.820492295377227,0.297309713923616,21.3928357014209
