source,target,ligand,receptor,irH_mean,AIH_mean,log2FC,enrich_strength,coherent,direction,irH_s1,irH_s2,AIH_s1,AIH_s2,abs_log2FC
Cholangiocyte,CD8+ T cell 2,FADD,FAS,0.357091616674301,0.794485712570021,-1.131926631563,0.794485712570021,TRUE,AIH,0.342790470507175,0.371392762841427,1.07267349889328,0.51629792624676,1.131926631563
Hepatocyte 1,CD4+ T cell,CCL16,CCR2,0.966017417218404,2.16306068269048,-1.15474966402061,2.16306068269048,TRUE,AIH,0,1.93203483443681,2.10666457311258,2.21945679226839,1.15474966402061
CD4+ T cell,Hepatocyte 2,TGFB1,EGFR,0.937633862727481,2.13865033273478,-1.18102906257819,2.13865033273478,TRUE,AIH,1.18898716967379,0.68628055578117,2.05784387320117,2.21945679226839,1.18102906257819
CD4+ T cell,Hepatocyte 1,C1QB,C1QBP,0.53105547257432,1.24760798993795,-1.21683386723105,1.24760798993795,TRUE,AIH,0.774022657904246,0.288088287244394,1.32153158254826,1.17368439732763,1.21683386723105
Hepatocyte 1,CD4+ T cell,HLA-B,CD8A,0.289011086737323,0.685120202145996,-1.21706349662196,0.685120202145996,TRUE,AIH,0.451610414913138,0.126411758561509,0.62291816996514,0.747322234326852,1.21706349662196
CD4+ T cell,Hepatocyte 2,C1QB,C1QBP,0.392617879645861,0.965509856297539,-1.27674520795504,0.965509856297539,TRUE,AIH,0.722328922734423,0.0629068365572988,0.988918118962003,0.942101593633076,1.27674520795504
CD4+ T cell,Hepatocyte 1,DCN,EGFR,0.87368997246342,2.16306068269048,-1.29811624374572,2.16306068269048,TRUE,AIH,0.859934290990737,0.887445653936103,2.10666457311258,2.21945679226839,1.29811624374572
IgM+ B cell,Ig+ hepatocyte,CCL5,SDC1,0.277260403392884,0.703082748909589,-1.31171036004465,0.703082748909589,TRUE,AIH,0.554520806785768,0,0.767955800426766,0.638209697392412,1.31171036004465
CD8+ T cell 2,Cholangiocyte,ICAM1,EGFR,0.776328476584964,2.02323126993086,-1.37057031679676,2.02323126993086,TRUE,AIH,0.780238285483499,0.772418667686429,2.10666457311258,1.93979796674914,1.37057031679676
Ig+ hepatocyte,IgM+ B cell,ICAM1,IL2RG,0.324139886302716,0.889915585244755,-1.42933747114335,0.889915585244755,TRUE,AIH,0.648279772605433,0,0.97737691502244,0.80245425546707,1.42933747114335
IgG+ B cell,CD8+ T cell 2,DCN,MET,0.228562775718132,0.651351454804338,-1.47104820240726,0.651351454804338,TRUE,AIH,0.24332717731315,0.213798374123114,0.516319972206743,0.786382937401932,1.47104820240726
CD4+ T cell,Hepatocyte 1,DCN,MET,0.75220235521711,2.16306068269048,-1.51148249110175,2.16306068269048,TRUE,AIH,0.772250027267426,0.732154683166794,2.10666457311258,2.21945679226839,1.51148249110175
CD4+ T cell,Hepatocyte 2,TGFB1,SMAD3,0.159917980821047,0.482476307106938,-1.53521579115502,0.482476307106938,TRUE,AIH,0.22259367406673,0.0972422875753633,0.379028997360755,0.585923616853121,1.53521579115502
IgG+ plasmablast / plasma cell,IgM+ B cell,ICAM1,IL2RG,0.12653549005762,0.390936060346309,-1.55409617617132,0.390936060346309,TRUE,AIH,0.253070980115239,0,0.257947339206111,0.523924781486506,1.55409617617132
