source,target,pathway_label,direction,log2FC,p_perm,BH_FDR
Hepatocyte 1,Stellate cell,CCL_CCR1,AIH,-6.80953205825097,0.00100286648697995,0.00289071096690355
Stellate cell,IgM+ B cell,CCL_CCR2,AIH,-6.80792559147816,0.00100286648697995,0.00289071096690355
Vascular endothelial cell,Hepatocyte 3,FN1,AIH,-6.77976917425022,0.0099009900990099,0.010590318772137
CD8+ T cell 3,IgM+ B cell,FN1,AIH,-6.77885483551909,0.00101190997057716,0.00289071096690355
IgG+ plasmablast / plasma cell,Macrophage 2,CXCL_CXCR4,AIH,-6.70145206351604,0.0099009900990099,0.010590318772137
IgM+ B cell,Macrophage 2,CXCL_CXCR4,AIH,-6.65452776875315,0.0099009900990099,0.010590318772137
IgG+ plasmablast / plasma cell,CD8+ T cell 2,FN1,AIH,-6.61041769280769,0.0099009900990099,0.010590318772137
Hepatocyte 2,CD8+ T cell 1,VEGF,AIH,-6.60908922133657,0.00100286648697995,0.00289071096690355
Hepatocyte 4,CD4+ T cell,ICOS,AIH,-6.60088838582361,0.00100286648697995,0.00289071096690355
Vascular endothelial cell,CD4+ T cell,CCL_CCR1,AIH,-6.58561423287362,0.0099009900990099,0.010590318772137
CD8+ T cell 3,Sinusoidal endothelial cell,CSF,AIH,-6.56696499261802,0.00100286648697995,0.00289071096690355
Hepatocyte 1,Hepatocyte 1,CCL_CCR1,AIH,-6.53045986537634,0.0099009900990099,0.010590318772137
Hepatocyte 1,Stellate cell,CSF,AIH,-6.47851651763511,0.0099009900990099,0.010590318772137
CD8+ T cell 1,IgM+ B cell,FASLG,AIH,-6.47431792700325,0.00100286648697995,0.00289071096690355
CD4+ T cell,Macrophage 1,LCK,AIH,-6.4643511989993,0.0099009900990099,0.010590318772137
IgG+ plasmablast / plasma cell,Hepatocyte 4,FN1,AIH,-6.4598834456943,0.0099009900990099,0.010590318772137
Hepatocyte 2,IgG+ plasmablast / plasma cell,CCL_CCR1,AIH,-6.43414941542332,0.00100286648697995,0.00289071096690355
Ig+ hepatocyte,IgG+ plasmablast / plasma cell,CCL_CCR1,AIH,-6.42750787655209,0.00100286648697995,0.00289071096690355
Cholangiocyte,Sinusoidal endothelial cell,CXCL_CXCR2,AIH,-6.42330529448375,0.00100286648697995,0.00289071096690355
CD8+ T cell 2,Ig+ hepatocyte,FASLG,AIH,-6.41565664288331,0.00100286648697995,0.00289071096690355
Ig+ hepatocyte,Sinusoidal endothelial cell,CCL_CCR1,AIH,-6.40632140009892,0.00100286648697995,0.00289071096690355
Hepatocyte 4,IgG+ plasmablast / plasma cell,CCL_CCR1,AIH,-6.39014159688169,0.00100286648697995,0.00289071096690355
