sample,x0,y0,n_hep,n_cd4,hep_with_cd4,cd4_with_hep,cd4_at_interface_frac,contact_frac,intersperse_score
56784_c,16050.40965271,-9030.37451171875,79,74,25,17,0.22972972972973,0.316455696202532,17
56784_c,16050.40965271,-8930.37451171875,60,86,27,21,0.244186046511628,0.45,21
56784_c,16050.40965271,-8880.37451171875,92,69,18,9,0.130434782608696,0.195652173913043,9
56784_c,16050.40965271,-8830.37451171875,148,51,33,11,0.215686274509804,0.222972972972973,11
56784_c,16100.40965271,-9030.37451171875,79,65,26,16,0.246153846153846,0.329113924050633,16
56784_c,16100.40965271,-8930.37451171875,65,75,31,22,0.293333333333333,0.476923076923077,22
56784_c,16100.40965271,-8880.37451171875,92,59,18,9,0.152542372881356,0.195652173913043,9
56784_c,16100.40965271,-8480.37451171875,137,51,51,35,0.686274509803922,0.372262773722628,35
56784_c,16150.40965271,-9030.37451171875,85,56,30,15,0.267857142857143,0.352941176470588,15
56784_c,16150.40965271,-8930.37451171875,66,67,37,22,0.328358208955224,0.560606060606061,22
56784_c,16150.40965271,-8880.37451171875,96,55,23,13,0.236363636363636,0.239583333333333,13
56784_c,16150.40965271,-8530.37451171875,80,50,27,28,0.56,0.3375,28
56784_c,16150.40965271,-8480.37451171875,122,55,42,34,0.618181818181818,0.344262295081967,34
56784_c,16200.40965271,-8980.37451171875,65,50,26,15,0.3,0.4,15
56784_c,16200.40965271,-8930.37451171875,74,53,33,18,0.339622641509434,0.445945945945946,18
56784_c,16200.40965271,-8530.37451171875,62,52,22,27,0.519230769230769,0.354838709677419,27
56784_c,16200.40965271,-8480.37451171875,105,56,34,32,0.571428571428571,0.323809523809524,32
56784_c,16250.40965271,-8930.37451171875,83,52,49,32,0.615384615384615,0.590361445783133,32
56784_c,16250.40965271,-8630.37451171875,85,56,25,20,0.357142857142857,0.294117647058824,20
56784_c,16250.40965271,-8530.37451171875,70,57,18,17,0.298245614035088,0.257142857142857,17
56784_c,16300.40965271,-8680.37451171875,125,52,29,23,0.442307692307692,0.232,23
56784_c,16300.40965271,-8630.37451171875,96,58,24,25,0.431034482758621,0.25,25
56784_c,16300.40965271,-8580.37451171875,80,58,25,25,0.431034482758621,0.3125,25
56784_c,16300.40965271,-8530.37451171875,91,51,24,19,0.372549019607843,0.263736263736264,19
56784_c,16350.40965271,-8680.37451171875,149,51,40,24,0.470588235294118,0.268456375838926,24
56784_c,16350.40965271,-8630.37451171875,127,55,35,26,0.472727272727273,0.275590551181102,26
56784_c,16350.40965271,-8580.37451171875,115,55,36,26,0.472727272727273,0.31304347826087,26
56784_c,16400.40965271,-8680.37451171875,161,51,48,27,0.529411764705882,0.298136645962733,27
56784_c,16400.40965271,-8630.37451171875,149,52,43,29,0.557692307692308,0.288590604026846,29
56784_c,16900.40965271,-9230.37451171875,81,73,29,11,0.150684931506849,0.358024691358025,11
56784_c,16900.40965271,-9180.37451171875,93,51,30,10,0.196078431372549,0.32258064516129,10
56784_c,16950.40965271,-9230.37451171875,66,117,29,12,0.102564102564103,0.439393939393939,12
56784_c,16950.40965271,-9180.37451171875,80,71,31,11,0.154929577464789,0.3875,11
56784_c,17000.40965271,-9180.37451171875,81,77,18,8,0.103896103896104,0.222222222222222,8
56784_c,17050.40965271,-9180.37451171875,73,74,13,6,0.0810810810810811,0.178082191780822,6
56784_c,17100.40965271,-9180.37451171875,70,62,9,5,0.0806451612903226,0.128571428571429,5
56784_c,17150.40965271,-9230.37451171875,74,76,16,11,0.144736842105263,0.216216216216216,11
56784_c,17150.40965271,-9180.37451171875,79,51,11,5,0.0980392156862745,0.139240506329114,5
56784_c,17150.40965271,-8630.37451171875,111,50,13,12,0.24,0.117117117117117,12
56784_c,17200.40965271,-8680.37451171875,103,54,24,15,0.277777777777778,0.233009708737864,15
56784_c,17200.40965271,-8630.37451171875,85,60,17,15,0.25,0.2,15
56784_c,17200.40965271,-8580.37451171875,101,50,15,14,0.28,0.148514851485149,14
56784_c,17250.40965271,-8680.37451171875,107,54,31,15,0.277777777777778,0.289719626168224,15
56784_c,17250.40965271,-8630.37451171875,86,62,25,16,0.258064516129032,0.290697674418605,16
56784_c,17250.40965271,-8580.37451171875,89,52,26,15,0.288461538461538,0.292134831460674,15
56784_c,17300.40965271,-8630.37451171875,101,55,32,14,0.254545454545455,0.316831683168317,14
56784_c,18250.40965271,-8630.37451171875,100,52,28,17,0.326923076923077,0.28,17
56784_c,18250.40965271,-8580.37451171875,78,76,28,25,0.328947368421053,0.358974358974359,25
56784_c,18300.40965271,-8630.37451171875,73,66,28,17,0.257575757575758,0.383561643835616,17
56784_c,18400.40965271,-9180.37451171875,73,64,10,13,0.203125,0.136986301369863,13
56784_c,18400.40965271,-9080.37451171875,70,56,6,6,0.107142857142857,0.0857142857142857,6
56784_c,18450.40965271,-9230.37451171875,83,66,12,14,0.212121212121212,0.144578313253012,14
56784_c,18450.40965271,-9080.37451171875,63,61,3,2,0.0327868852459016,0.0476190476190476,2
56784_c,18500.40965271,-9330.37451171875,80,64,8,12,0.1875,0.1,12
56784_c,18500.40965271,-9280.37451171875,85,82,10,13,0.158536585365854,0.117647058823529,13
56784_c,18550.40965271,-9080.37451171875,61,63,14,8,0.126984126984127,0.229508196721311,8
56784_c,18600.40965271,-9080.37451171875,78,54,16,11,0.203703703703704,0.205128205128205,11
56784_c,18650.40965271,-9230.37451171875,73,93,29,15,0.161290322580645,0.397260273972603,15
56784_c,18650.40965271,-9180.37451171875,81,90,36,15,0.166666666666667,0.444444444444444,15
56784_c,18650.40965271,-9130.37451171875,88,64,35,18,0.28125,0.397727272727273,18
56784_c,18700.40965271,-9330.37451171875,61,59,22,11,0.186440677966102,0.360655737704918,11
56784_c,18700.40965271,-9280.37451171875,81,61,26,13,0.213114754098361,0.320987654320988,13
56784_c,18700.40965271,-9230.37451171875,113,67,34,16,0.238805970149254,0.300884955752212,16
56784_c,18700.40965271,-9180.37451171875,122,67,42,17,0.253731343283582,0.344262295081967,17
