sample,x0,y0,n_hep,n_cd4,n_chol,score
18321_a,2398.78463745117,-2024.14233398438,171,35,11,77.3627817493658
18321_a,2398.78463745117,-1974.14233398438,186,7,11,36.0832371053374
18321_a,2398.78463745117,-1924.14233398438,193,5,9,31.0644491340181
18321_a,2448.78463745117,-2374.14233398438,33,17,1,23.685438564654
18321_a,2448.78463745117,-2324.14233398438,53,33,9,41.821047332653
18321_a,2448.78463745117,-2274.14233398438,68,58,14,62.8012738724303
18321_a,2448.78463745117,-2224.14233398438,85,88,20,86.4869932417586
18321_a,2448.78463745117,-2174.14233398438,108,86,22,96.3742704252541
18321_a,2448.78463745117,-2124.14233398438,113,77,23,93.279150939532
18321_a,2448.78463745117,-2074.14233398438,130,64,17,91.214034007931
18321_a,2448.78463745117,-2024.14233398438,148,40,18,76.9415362466854
18321_a,2448.78463745117,-1974.14233398438,166,11,23,42.731721238443
18321_a,2448.78463745117,-1924.14233398438,168,7,20,34.2928563989645
18321_a,2448.78463745117,-1874.14233398438,174,6,20,32.310988842807
18321_a,2498.78463745117,-2324.14233398438,53,8,8,20.591260281974
18321_a,2498.78463745117,-2274.14233398438,71,32,8,47.6655011512519
18321_a,2498.78463745117,-2224.14233398438,83,62,14,71.7356257378438
18321_a,2498.78463745117,-2174.14233398438,109,66,16,84.8174510345601
18321_a,2498.78463745117,-2124.14233398438,111,65,17,84.9411561023277
18321_a,2498.78463745117,-2074.14233398438,121,63,12,87.3097932651315
18321_a,2498.78463745117,-2024.14233398438,127,41,18,72.1595454531138
18321_a,2498.78463745117,-1974.14233398438,141,12,34,41.1339276024063
18321_a,2498.78463745117,-1924.14233398438,140,8,31,33.466401061363
18321_a,2498.78463745117,-1874.14233398438,150,7,31,32.4037034920393
18321_a,2548.78463745117,-2274.14233398438,90,11,0,31.4642654451046
18321_a,2548.78463745117,-2224.14233398438,104,32,3,57.6888204074238
18321_a,2548.78463745117,-2174.14233398438,123,37,6,67.4610999020917
18321_a,2548.78463745117,-2124.14233398438,123,38,7,68.3666585405489
18321_a,2548.78463745117,-2074.14233398438,124,41,9,71.3021738799036
18321_a,2548.78463745117,-2024.14233398438,106,33,15,59.143892330485
18321_a,2548.78463745117,-1974.14233398438,108,14,36,38.8844441904472
18321_a,2548.78463745117,-1924.14233398438,111,10,34,33.3166624979154
18321_a,2548.78463745117,-1874.14233398438,125,9,33,33.5410196624968
18321_a,2548.78463745117,-1824.14233398438,122,6,31,27.0554985169374
18321_a,2598.78463745117,-2224.14233398438,103,6,3,24.8596057893121
18321_a,2598.78463745117,-2174.14233398438,123,8,6,31.3687742827162
18321_a,2598.78463745117,-2124.14233398438,133,9,7,34.5976877840124
18321_a,2598.78463745117,-2074.14233398438,131,12,9,39.648455203198
18321_a,2598.78463745117,-2024.14233398438,100,17,15,41.2310562561766
18321_a,2598.78463745117,-1974.14233398438,90,14,36,35.4964786985977
18321_a,2598.78463745117,-1924.14233398438,97,13,34,35.5105618091294
18321_a,2598.78463745117,-1874.14233398438,104,12,33,35.3270434653114
18321_a,2598.78463745117,-1824.14233398438,107,9,31,31.0322412983658
18321_a,2648.78463745117,-2074.14233398438,141,5,3,26.5518360947035
18321_a,2648.78463745117,-2024.14233398438,115,10,7,33.9116499156263
18321_a,2648.78463745117,-1974.14233398438,106,10,25,32.5576411921994
18321_a,2648.78463745117,-1924.14233398438,107,8,25,29.2574776766556
18321_a,2648.78463745117,-1874.14233398438,117,8,24,30.5941170815567
18321_a,2648.78463745117,-1824.14233398438,116,7,24,28.49561369755
18321_a,2698.78463745117,-2024.14233398438,132,6,0,28.1424945589406
18321_a,2698.78463745117,-1974.14233398438,129,7,13,30.0499584026334
18321_a,2698.78463745117,-1924.14233398438,129,7,14,30.0499584026334
18321_a,2698.78463745117,-1874.14233398438,134,7,14,30.6267856622271
18321_a,2698.78463745117,-1824.14233398438,125,7,14,29.5803989154981
18321_a,2748.78463745117,-2024.14233398438,141,5,0,26.5518360947035
18321_a,2748.78463745117,-1974.14233398438,138,6,2,28.7749891398763
18321_a,2748.78463745117,-1924.14233398438,140,6,3,28.9827534923789
18321_a,2748.78463745117,-1874.14233398438,139,6,3,28.8790581563873
18321_a,2748.78463745117,-1824.14233398438,141,6,3,29.086079144498
18321_a,3348.78463745117,-1824.14233398438,185,5,3,30.4138126514911
18321_a,3348.78463745117,-1774.14233398438,188,5,3,30.6594194335118
18321_a,3398.78463745117,-1974.14233398438,73,6,4,20.9284495364563
18321_a,3398.78463745117,-1924.14233398438,99,8,4,28.1424945589406
18321_a,3398.78463745117,-1874.14233398438,129,10,4,35.9165699921359
18321_a,3398.78463745117,-1824.14233398438,141,14,4,44.4297197830461
18321_a,3398.78463745117,-1774.14233398438,155,13,3,44.8887513749269
18321_a,3398.78463745117,-1724.14233398438,168,9,1,38.8844441904472
18321_a,3398.78463745117,-1674.14233398438,185,7,1,35.9861084308932
18321_a,3398.78463745117,-1624.14233398438,194,5,2,31.1448230047949
18321_a,3448.78463745117,-1974.14233398438,59,8,4,21.7255609824004
18321_a,3448.78463745117,-1924.14233398438,74,11,4,28.5306852353742
18321_a,3448.78463745117,-1874.14233398438,90,14,4,35.4964786985977
18321_a,3448.78463745117,-1824.14233398438,100,18,4,42.4264068711929
18321_a,3448.78463745117,-1774.14233398438,117,16,3,43.2666153055679
18321_a,3448.78463745117,-1724.14233398438,130,11,1,37.8153408023781
18321_a,3448.78463745117,-1674.14233398438,152,8,1,34.8711915483254
18321_a,3448.78463745117,-1624.14233398438,174,5,1,29.4957624075053
18321_a,3498.78463745117,-1974.14233398438,32,8,5,16
18321_a,3498.78463745117,-1924.14233398438,42,12,5,22.4499443206437
18321_a,3498.78463745117,-1874.14233398438,55,15,5,28.7228132326901
18321_a,3498.78463745117,-1824.14233398438,74,19,5,37.4966665185054
18321_a,3498.78463745117,-1774.14233398438,97,17,4,40.6078810084939
18321_a,3498.78463745117,-1724.14233398438,120,13,3,39.496835316263
18321_a,3498.78463745117,-1674.14233398438,146,9,3,36.2491379207837
18321_a,3498.78463745117,-1624.14233398438,173,6,3,32.218007387174
18321_a,3548.78463745117,-1874.14233398438,40,15,5,24.4948974278318
18321_a,3548.78463745117,-1824.14233398438,61,19,4,34.0440890610984
18321_a,3548.78463745117,-1774.14233398438,93,17,3,39.7617907041421
18321_a,3548.78463745117,-1724.14233398438,120,13,2,39.496835316263
18321_a,3548.78463745117,-1674.14233398438,147,9,2,36.3730669589464
18321_a,3548.78463745117,-1624.14233398438,173,6,2,32.218007387174
18321_a,3598.78463745117,-1874.14233398438,44,12,2,22.9782505861521
18321_a,3598.78463745117,-1824.14233398438,73,15,2,33.0907842155486
18321_a,3598.78463745117,-1774.14233398438,118,13,1,39.1663120551323
18321_a,3598.78463745117,-1724.14233398438,143,10,2,37.8153408023781
18321_a,3598.78463745117,-1674.14233398438,165,6,2,31.4642654451046
18321_a,3648.78463745117,-1874.14233398438,54,5,1,16.431676725155
