sample,x0,y0,n_hep,n_cd4,n_interact,frac
56784_c,17195.9170014954,-9262.21958007812,86,45,11,0.244444444444444
56784_c,17195.9170014954,-9212.21958007813,92,47,11,0.234042553191489
56784_c,17195.9170014954,-9162.21958007812,82,37,9,0.243243243243243
56784_c,17195.9170014954,-8762.21958007812,158,34,7,0.205882352941176
56784_c,17195.9170014954,-8712.21958007813,125,50,8,0.16
56784_c,17195.9170014954,-8662.21958007813,98,60,9,0.15
56784_c,17195.9170014954,-8612.21958007813,87,56,5,0.0892857142857143
56784_c,17195.9170014954,-8562.21958007813,103,47,8,0.170212765957447
56784_c,17195.9170014954,-8512.21958007812,91,32,6,0.1875
56784_c,17245.9170014954,-9312.21958007812,88,31,12,0.387096774193548
56784_c,17245.9170014954,-9262.21958007812,105,35,14,0.4
56784_c,17245.9170014954,-9212.21958007813,105,38,15,0.394736842105263
56784_c,17245.9170014954,-9162.21958007812,88,38,14,0.368421052631579
56784_c,17245.9170014954,-9112.21958007813,92,31,10,0.32258064516129
56784_c,17245.9170014954,-9062.21958007812,99,31,10,0.32258064516129
56784_c,17245.9170014954,-8762.21958007812,149,36,8,0.222222222222222
56784_c,17245.9170014954,-8712.21958007813,128,50,9,0.18
