sample,x0,y0,n_hep,n_cd4,n_interact,frac
56784_c,13495.9170014954,-9462.21958007813,107,36,9,0.25
56784_c,13495.9170014954,-9412.21958007812,98,45,9,0.2
56784_c,13495.9170014954,-9362.21958007813,95,52,11,0.211538461538462
56784_c,13495.9170014954,-9312.21958007812,76,99,9,0.0909090909090909
56784_c,13495.9170014954,-9012.21958007812,63,94,5,0.0531914893617021
56784_c,13495.9170014954,-8962.21958007813,81,33,3,0.0909090909090909
56784_c,13545.9170014954,-10112.2195800781,65,48,2,0.0416666666666667
56784_c,13545.9170014954,-9612.21958007813,70,54,5,0.0925925925925926
56784_c,13545.9170014954,-9562.21958007812,93,38,5,0.131578947368421
56784_c,13545.9170014954,-9412.21958007812,134,35,10,0.285714285714286
56784_c,13545.9170014954,-9362.21958007813,130,41,13,0.317073170731707
56784_c,13545.9170014954,-9312.21958007812,103,87,11,0.126436781609195
56784_c,13545.9170014954,-9262.21958007812,68,148,7,0.0472972972972973
56784_c,13545.9170014954,-9062.21958007812,80,164,7,0.0426829268292683
56784_c,13545.9170014954,-9012.21958007812,107,97,7,0.0721649484536082
56784_c,13545.9170014954,-8962.21958007813,133,33,3,0.0909090909090909
56784_c,13595.9170014954,-9662.21958007812,71,66,5,0.0757575757575758
56784_c,13595.9170014954,-9612.21958007813,93,44,8,0.181818181818182
56784_c,13595.9170014954,-9312.21958007812,122,62,12,0.193548387096774
56784_c,13595.9170014954,-9262.21958007812,83,100,9,0.09
56784_c,13595.9170014954,-9212.21958007813,62,132,9,0.0681818181818182
56784_c,13595.9170014954,-9112.21958007813,75,140,6,0.0428571428571429
56784_c,13595.9170014954,-9062.21958007812,110,103,7,0.0679611650485437
56784_c,13595.9170014954,-9012.21958007812,146,62,7,0.112903225806452
56784_c,13645.9170014954,-9662.21958007812,93,56,5,0.0892857142857143
56784_c,13645.9170014954,-9612.21958007813,115,40,8,0.2
56784_c,13645.9170014954,-9312.21958007812,128,48,17,0.354166666666667
56784_c,13645.9170014954,-9262.21958007812,95,74,15,0.202702702702703
56784_c,13645.9170014954,-9212.21958007813,82,84,13,0.154761904761905
56784_c,13645.9170014954,-9162.21958007812,80,82,9,0.109756097560976
56784_c,13645.9170014954,-9112.21958007813,98,75,4,0.0533333333333333
56784_c,13645.9170014954,-9062.21958007812,136,48,5,0.104166666666667
56784_c,13695.9170014954,-9712.21958007813,75,59,3,0.0508474576271187
56784_c,13695.9170014954,-9662.21958007812,118,39,5,0.128205128205128
56784_c,13695.9170014954,-9612.21958007813,145,30,8,0.266666666666667
56784_c,13695.9170014954,-9312.21958007812,136,35,14,0.4
56784_c,13695.9170014954,-9262.21958007812,105,44,12,0.272727272727273
56784_c,13695.9170014954,-9212.21958007813,101,53,11,0.207547169811321
56784_c,13695.9170014954,-9162.21958007812,110,49,7,0.142857142857143
56784_c,13695.9170014954,-9112.21958007813,130,44,4,0.0909090909090909
56784_c,13745.9170014954,-9712.21958007813,78,39,3,0.0769230769230769
56784_c,13995.9170014954,-8762.21958007812,141,40,13,0.325
56784_c,13995.9170014954,-8712.21958007813,105,42,14,0.333333333333333
56784_c,13995.9170014954,-8662.21958007813,75,43,14,0.325581395348837
56784_c,14045.9170014954,-8812.21958007813,130,40,13,0.325
