sample,x0,y0,n_hep,n_cd4,n_chol,score
54023_b,1743.95310974121,-9983.63305664063,76,39,37,54.4426303552648
54023_b,1743.95310974121,-9933.63305664063,73,45,39,57.3149195236284
54023_b,1743.95310974121,-9883.63305664063,70,41,23,53.5723809439155
54023_b,1743.95310974121,-9833.63305664063,48,37,21,42.142615011411
54023_b,1793.95310974121,-10833.6330566406,38,14,0,23.0651251893416
54023_b,1793.95310974121,-10783.6330566406,61,15,0,30.2489669245084
54023_b,1793.95310974121,-10733.6330566406,99,16,0,39.7994974842648
54023_b,1793.95310974121,-10683.6330566406,125,9,0,33.5410196624968
54023_b,1793.95310974121,-10633.6330566406,146,5,0,27.0185121722126
54023_b,1793.95310974121,-10383.6330566406,123,7,0,29.3428015022424
54023_b,1793.95310974121,-10333.6330566406,96,9,0,29.3938769133981
54023_b,1793.95310974121,-10283.6330566406,87,12,0,32.310988842807
54023_b,1793.95310974121,-10233.6330566406,66,15,0,31.4642654451046
54023_b,1793.95310974121,-10183.6330566406,63,17,1,32.7261363439071
54023_b,1793.95310974121,-10133.6330566406,67,15,17,31.7017349682947
54023_b,1793.95310974121,-10083.6330566406,67,17,21,33.7490740613724
54023_b,1793.95310974121,-10033.6330566406,80,29,37,48.1663783151692
54023_b,1793.95310974121,-9983.63305664063,84,37,41,55.7494394590654
54023_b,1793.95310974121,-9933.63305664063,85,43,42,60.4565960007674
54023_b,1793.95310974121,-9883.63305664063,79,41,26,56.9122131005288
54023_b,1793.95310974121,-9833.63305664063,66,37,22,49.4165964024234
54023_b,1793.95310974121,-9783.63305664062,40,22,6,29.6647939483827
54023_b,1843.95310974121,-10833.6330566406,39,13,0,22.5166604983954
54023_b,1843.95310974121,-10783.6330566406,66,13,0,29.2916370317536
54023_b,1843.95310974121,-10733.6330566406,100,15,0,38.7298334620742
54023_b,1843.95310974121,-10683.6330566406,133,8,0,32.6190128606002
54023_b,1843.95310974121,-10433.6330566406,127,5,0,25.1992063367083
54023_b,1843.95310974121,-10383.6330566406,102,10,0,31.9374388453426
54023_b,1843.95310974121,-10333.6330566406,70,11,0,27.7488738510232
54023_b,1843.95310974121,-10283.6330566406,63,15,0,30.7408522978788
54023_b,1843.95310974121,-10233.6330566406,48,18,0,29.3938769133981
54023_b,1843.95310974121,-10183.6330566406,53,19,4,31.7332633052449
54023_b,1843.95310974121,-10133.6330566406,59,18,13,32.5883414736007
