sample,x0,y0,n_chol,n_cd8t23,n_cd8t1,chol_with_cd23,cd23_with_chol,score
54023_b,1450,-10700,60,32,106,7,3,10
56784_c,13650,-9450,22,32,71,6,4,10
54023_b,1800,-9950,37,31,89,7,3,10
54023_b,1400,-10700,77,29,87,7,3,10
56784_c,13450,-9700,22,27,71,5,5,10
56784_c,13550,-9550,21,27,92,5,5,10
56784_c,16700,-9150,33,27,97,5,5,10
56784_c,16700,-9100,30,27,88,5,5,10
56784_c,18800,-9050,19,27,78,6,4,10
54023_b,1300,-10700,74,26,88,7,3,10
56784_c,16000,-8550,27,26,44,5,5,10
56784_c,16000,-8500,23,26,52,5,5,10
54023_b,1850,-9900,29,25,78,6,4,10
56784_c,13700,-9450,26,25,61,6,4,10
56784_c,16700,-9050,27,25,76,5,5,10
56784_c,17300,-9200,60,25,104,5,5,10
56784_c,17350,-9200,53,25,98,5,5,10
54023_b,1850,-9850,22,24,62,6,4,10
56784_c,13300,-9600,38,24,57,6,4,10
56784_c,13400,-9500,48,24,88,6,4,10
56784_c,17250,-9200,64,24,90,5,5,10
56784_c,18800,-9000,19,24,60,6,4,10
56784_c,13400,-9750,22,23,49,6,4,10
56784_c,16800,-9250,20,23,77,6,4,10
56784_c,13550,-9600,27,22,96,5,5,10
56784_c,16000,-8600,22,22,41,5,5,10
56784_c,16750,-9050,18,22,81,5,5,10
56784_c,16750,-9200,26,21,94,7,3,10
56784_c,18750,-9050,27,21,71,6,4,10
56784_c,13300,-9550,39,20,70,6,4,10
56784_c,16050,-8500,35,20,59,5,5,10
54023_b,1350,-10700,80,19,86,7,3,10
56784_c,13450,-9750,24,19,64,6,4,10
56784_c,15800,-8750,34,19,68,7,3,10
56784_c,16050,-8950,98,19,126,6,4,10
54023_b,1800,-9850,22,18,53,6,4,10
56784_c,13800,-9200,28,18,78,7,3,10
56784_c,18750,-9000,27,18,49,6,4,10
56784_c,16050,-8550,39,17,51,5,5,10
56784_c,13500,-10150,78,16,71,6,4,10
56784_c,13550,-9700,29,16,91,5,5,10
