sample,x0,y0,n_hep,n_cd4,hep_with_cd4,cd4_with_hep,cd4_at_interface_frac,contact_frac
18321_a,2348.78463745117,-2124.14233398438,149,76,18,17,0.223684210526316,0.120805369127517
18321_a,2348.78463745117,-2074.14233398438,169,52,9,10,0.192307692307692,0.0532544378698225
18321_a,2398.78463745117,-2274.14233398438,74,85,17,13,0.152941176470588,0.22972972972973
18321_a,2398.78463745117,-2224.14233398438,97,113,20,18,0.15929203539823,0.206185567010309
18321_a,2398.78463745117,-2174.14233398438,118,107,19,20,0.186915887850467,0.161016949152542
18321_a,2398.78463745117,-2124.14233398438,128,81,19,18,0.222222222222222,0.1484375
18321_a,2398.78463745117,-2074.14233398438,150,59,11,11,0.186440677966102,0.0733333333333333
18321_a,2398.78463745117,-2024.14233398438,171,35,11,11,0.314285714285714,0.064327485380117
18321_a,2448.78463745117,-2274.14233398438,68,58,10,7,0.120689655172414,0.147058823529412
18321_a,2448.78463745117,-2224.14233398438,85,88,15,14,0.159090909090909,0.176470588235294
18321_a,2448.78463745117,-2174.14233398438,108,86,19,18,0.209302325581395,0.175925925925926
18321_a,2448.78463745117,-2124.14233398438,113,77,21,17,0.220779220779221,0.185840707964602
18321_a,2448.78463745117,-2074.14233398438,130,64,21,16,0.25,0.161538461538462
18321_a,2448.78463745117,-2024.14233398438,148,40,21,16,0.4,0.141891891891892
18321_a,2498.78463745117,-2274.14233398438,71,32,5,4,0.125,0.0704225352112676
18321_a,2498.78463745117,-2224.14233398438,83,62,9,9,0.145161290322581,0.108433734939759
18321_a,2498.78463745117,-2174.14233398438,109,66,17,15,0.227272727272727,0.155963302752294
18321_a,2498.78463745117,-2124.14233398438,111,65,19,14,0.215384615384615,0.171171171171171
18321_a,2498.78463745117,-2074.14233398438,121,63,19,13,0.206349206349206,0.15702479338843
18321_a,2498.78463745117,-2024.14233398438,127,41,20,14,0.341463414634146,0.15748031496063
18321_a,2548.78463745117,-2224.14233398438,104,32,4,4,0.125,0.0384615384615385
18321_a,2548.78463745117,-2174.14233398438,123,37,12,11,0.297297297297297,0.0975609756097561
18321_a,2548.78463745117,-2124.14233398438,123,38,16,11,0.289473684210526,0.130081300813008
18321_a,2548.78463745117,-2074.14233398438,124,41,17,11,0.268292682926829,0.137096774193548
18321_a,2548.78463745117,-2024.14233398438,106,33,19,13,0.393939393939394,0.179245283018868
18321_a,5898.78463745117,-1124.14233398438,130,30,20,7,0.233333333333333,0.153846153846154
18321_a,5898.78463745117,-1074.14233398438,102,31,20,7,0.225806451612903,0.196078431372549
18321_a,5898.78463745117,-1024.14233398437,90,40,19,7,0.175,0.211111111111111
18321_a,5948.78463745117,-1124.14233398438,123,35,19,12,0.342857142857143,0.154471544715447
18321_a,5948.78463745117,-1074.14233398438,92,36,19,12,0.333333333333333,0.206521739130435
18321_a,5948.78463745117,-1024.14233398437,71,47,18,12,0.25531914893617,0.253521126760563
18321_a,5998.78463745117,-1124.14233398438,117,34,15,11,0.323529411764706,0.128205128205128
18321_a,5998.78463745117,-1074.14233398438,82,35,15,11,0.314285714285714,0.182926829268293
18321_a,6048.78463745117,-1124.14233398438,138,30,12,10,0.333333333333333,0.0869565217391304
18321_a,6048.78463745117,-1074.14233398438,109,34,15,12,0.352941176470588,0.137614678899083
18321_a,6048.78463745117,-1024.14233398437,71,49,13,12,0.244897959183673,0.183098591549296
18321_a,6098.78463745117,-1024.14233398437,104,33,8,9,0.272727272727273,0.0769230769230769
24774_d,13043.8946533203,-1602.76489257813,100,30,14,25,0.833333333333333,0.14
24774_d,13043.8946533203,-1552.76489257813,115,33,18,26,0.787878787878788,0.156521739130435
24774_d,13043.8946533203,-1502.76489257813,126,33,18,26,0.787878787878788,0.142857142857143
24774_d,13043.8946533203,-1452.76489257813,131,31,13,25,0.806451612903226,0.099236641221374
24774_d,13093.8946533203,-1602.76489257813,104,30,15,25,0.833333333333333,0.144230769230769
24774_d,13093.8946533203,-1552.76489257813,110,33,19,26,0.787878787878788,0.172727272727273
24774_d,13093.8946533203,-1502.76489257813,110,33,19,26,0.787878787878788,0.172727272727273
24774_d,13093.8946533203,-1452.76489257813,111,31,14,25,0.806451612903226,0.126126126126126
24774_d,13143.8946533203,-1602.76489257813,106,30,15,25,0.833333333333333,0.141509433962264
24774_d,13143.8946533203,-1552.76489257813,108,32,15,25,0.78125,0.138888888888889
24774_d,13143.8946533203,-1502.76489257813,105,32,15,25,0.78125,0.142857142857143
24774_d,13143.8946533203,-1452.76489257813,101,30,10,24,0.8,0.099009900990099
24774_d,13493.8946533203,-1302.76489257813,122,30,8,9,0.3,0.0655737704918033
24774_d,13493.8946533203,-1252.76489257813,109,34,8,9,0.264705882352941,0.073394495412844
