sample,x0,y0,n_hep,n_cd4,n_interact_proxy,interact_frac
24774_d,13043.8946533203,-1602.76489257813,100,30,30,1
24774_d,13043.8946533203,-1552.76489257813,115,33,33,1
24774_d,13043.8946533203,-1502.76489257813,126,33,33,1
24774_d,13043.8946533203,-1452.76489257813,131,31,31,1
24774_d,13093.8946533203,-1602.76489257813,104,30,30,1
24774_d,13093.8946533203,-1552.76489257813,110,33,33,1
24774_d,13093.8946533203,-1502.76489257813,110,33,33,1
24774_d,13093.8946533203,-1452.76489257813,111,31,31,1
24774_d,13143.8946533203,-1602.76489257813,106,30,30,1
24774_d,13143.8946533203,-1552.76489257813,108,32,32,1
24774_d,13143.8946533203,-1502.76489257813,105,32,32,1
24774_d,13143.8946533203,-1452.76489257813,101,30,30,1
24774_d,13493.8946533203,-1302.76489257813,122,30,21,0.7
24774_d,13493.8946533203,-1252.76489257813,109,34,23,0.676470588235294
24774_d,13493.8946533203,-1202.76489257813,101,36,25,0.694444444444445
24774_d,13493.8946533203,-1152.76489257813,78,34,23,0.676470588235294
24774_d,13543.8946533203,-1352.76489257813,141,31,23,0.741935483870968
24774_d,13543.8946533203,-1302.76489257813,124,32,24,0.75
24774_d,13543.8946533203,-1252.76489257813,112,36,26,0.722222222222222
24774_d,13543.8946533203,-1202.76489257813,102,38,28,0.736842105263158
24774_d,13543.8946533203,-1152.76489257813,77,36,24,0.666666666666667
24774_d,13593.8946533203,-1352.76489257813,143,31,23,0.741935483870968
24774_d,13593.8946533203,-1302.76489257813,119,32,24,0.75
24774_d,13593.8946533203,-1252.76489257813,114,36,26,0.722222222222222
24774_d,13593.8946533203,-1202.76489257813,99,38,28,0.736842105263158
24774_d,13593.8946533203,-1152.76489257813,69,36,24,0.666666666666667
24774_d,13643.8946533203,-1352.76489257813,140,31,23,0.741935483870968
24774_d,13643.8946533203,-1302.76489257813,123,31,24,0.774193548387097
24774_d,13643.8946533203,-1252.76489257813,126,31,24,0.774193548387097
24774_d,13643.8946533203,-1202.76489257813,124,33,26,0.787878787878788
24774_d,13643.8946533203,-1152.76489257813,94,31,22,0.709677419354839
