sample,x0,y0,n_hep,n_cd4,n_interact_proxy,interact_frac
56784_c,14850.40965271,-8980.37451171875,74,44,13,0.295454545454545
56784_c,14850.40965271,-8930.37451171875,103,47,18,0.382978723404255
56784_c,14850.40965271,-8880.37451171875,115,39,18,0.461538461538462
56784_c,14900.40965271,-8930.37451171875,65,48,18,0.375
56784_c,14900.40965271,-8880.37451171875,72,40,18,0.45
56784_c,15300.40965271,-9180.37451171875,62,34,16,0.470588235294118
56784_c,15350.40965271,-9130.37451171875,65,36,17,0.472222222222222
56784_c,15400.40965271,-9130.37451171875,80,31,20,0.645161290322581
56784_c,15700.40965271,-8980.37451171875,69,41,12,0.292682926829268
56784_c,15700.40965271,-8880.37451171875,128,30,24,0.8
56784_c,15750.40965271,-8930.37451171875,89,43,21,0.488372093023256
56784_c,15750.40965271,-8880.37451171875,126,36,23,0.638888888888889
56784_c,15800.40965271,-8930.37451171875,67,74,23,0.310810810810811
56784_c,15800.40965271,-8880.37451171875,109,65,26,0.4
56784_c,15800.40965271,-8830.37451171875,152,51,23,0.450980392156863
56784_c,15800.40965271,-8780.37451171875,180,32,19,0.59375
56784_c,15850.40965271,-8880.37451171875,92,73,23,0.315068493150685
56784_c,15850.40965271,-8830.37451171875,140,56,21,0.375
56784_c,15850.40965271,-8780.37451171875,177,34,19,0.558823529411765
56784_c,15900.40965271,-8880.37451171875,93,78,21,0.269230769230769
56784_c,15900.40965271,-8830.37451171875,140,62,24,0.387096774193548
56784_c,15900.40965271,-8780.37451171875,171,35,20,0.571428571428571
56784_c,15950.40965271,-9130.37451171875,85,40,23,0.575
56784_c,15950.40965271,-9080.37451171875,74,52,22,0.423076923076923
56784_c,15950.40965271,-8880.37451171875,91,77,16,0.207792207792208
56784_c,15950.40965271,-8830.37451171875,144,65,20,0.307692307692308
56784_c,15950.40965271,-8780.37451171875,174,34,20,0.588235294117647
56784_c,16000.40965271,-9130.37451171875,105,31,25,0.806451612903226
56784_c,16000.40965271,-9080.37451171875,94,50,25,0.5
56784_c,16000.40965271,-9030.37451171875,63,85,24,0.282352941176471
56784_c,16000.40965271,-8880.37451171875,91,85,18,0.211764705882353
56784_c,16000.40965271,-8830.37451171875,146,69,21,0.304347826086957
56784_c,16000.40965271,-8780.37451171875,171,35,21,0.6
56784_c,16050.40965271,-9080.37451171875,114,45,27,0.6
56784_c,16050.40965271,-9030.37451171875,79,74,26,0.351351351351351
56784_c,16050.40965271,-8930.37451171875,60,86,35,0.406976744186047
56784_c,16050.40965271,-8880.37451171875,92,69,20,0.289855072463768
56784_c,16050.40965271,-8830.37451171875,148,51,18,0.352941176470588
56784_c,16050.40965271,-8580.37451171875,132,35,31,0.885714285714286
56784_c,16050.40965271,-8530.37451171875,130,40,36,0.9
56784_c,16050.40965271,-8480.37451171875,158,46,42,0.91304347826087
56784_c,16050.40965271,-8430.37451171875,174,34,31,0.911764705882353
56784_c,16100.40965271,-9080.37451171875,105,38,24,0.631578947368421
56784_c,16100.40965271,-9030.37451171875,79,65,24,0.369230769230769
56784_c,16100.40965271,-8930.37451171875,65,75,34,0.453333333333333
56784_c,16100.40965271,-8880.37451171875,92,59,18,0.305084745762712
56784_c,16100.40965271,-8830.37451171875,147,43,16,0.372093023255814
56784_c,16100.40965271,-8630.37451171875,125,30,23,0.766666666666667
56784_c,16100.40965271,-8580.37451171875,95,38,31,0.81578947368421
56784_c,16100.40965271,-8530.37451171875,99,44,37,0.840909090909091
56784_c,16100.40965271,-8480.37451171875,137,51,44,0.862745098039216
56784_c,16100.40965271,-8430.37451171875,159,37,33,0.891891891891892
56784_c,16150.40965271,-9080.37451171875,103,32,23,0.71875
56784_c,16150.40965271,-9030.37451171875,85,56,25,0.446428571428571
56784_c,16150.40965271,-8930.37451171875,66,67,34,0.507462686567164
56784_c,16150.40965271,-8880.37451171875,96,55,22,0.4
56784_c,16150.40965271,-8830.37451171875,145,40,16,0.4
56784_c,16150.40965271,-8630.37451171875,107,34,21,0.617647058823529
56784_c,16150.40965271,-8580.37451171875,78,45,32,0.711111111111111
56784_c,16150.40965271,-8530.37451171875,80,50,37,0.74
56784_c,16150.40965271,-8480.37451171875,122,55,43,0.781818181818182
56784_c,16150.40965271,-8430.37451171875,152,39,32,0.82051282051282
56784_c,16200.40965271,-9030.37451171875,89,42,20,0.476190476190476
56784_c,16200.40965271,-8980.37451171875,65,50,23,0.46
56784_c,16200.40965271,-8930.37451171875,74,53,28,0.528301886792453
56784_c,16200.40965271,-8880.37451171875,99,48,23,0.479166666666667
56784_c,16200.40965271,-8830.37451171875,137,34,15,0.441176470588235
56784_c,16200.40965271,-8630.37451171875,83,38,23,0.605263157894737
56784_c,16200.40965271,-8530.37451171875,62,52,37,0.711538461538462
56784_c,16200.40965271,-8480.37451171875,105,56,42,0.75
56784_c,16200.40965271,-8430.37451171875,143,37,30,0.810810810810811
56784_c,16250.40965271,-9030.37451171875,111,35,25,0.714285714285714
56784_c,16250.40965271,-8980.37451171875,85,43,32,0.744186046511628
56784_c,16250.40965271,-8930.37451171875,83,52,41,0.788461538461538
56784_c,16250.40965271,-8880.37451171875,103,48,37,0.770833333333333
56784_c,16250.40965271,-8830.37451171875,137,39,29,0.743589743589744
56784_c,16250.40965271,-8780.37451171875,152,32,31,0.96875
56784_c,16250.40965271,-8730.37451171875,147,31,27,0.870967741935484
56784_c,16250.40965271,-8680.37451171875,124,45,28,0.622222222222222
56784_c,16250.40965271,-8630.37451171875,85,56,29,0.517857142857143
56784_c,16250.40965271,-8530.37451171875,70,57,24,0.421052631578947
56784_c,16250.40965271,-8480.37451171875,115,49,25,0.510204081632653
