sample,x0,y0,n_hep,n_cd4,hep_with_cd4_contact,contact_frac,score
18321_a,1398.78463745117,-2674.14233398438,136,7,8,0.0588235294117647,8
18321_a,1398.78463745117,-2624.14233398438,135,12,15,0.111111111111111,15
18321_a,1398.78463745117,-2574.14233398438,118,60,20,0.169491525423729,20
18321_a,1398.78463745117,-2524.14233398438,101,123,16,0.158415841584158,16
18321_a,1398.78463745117,-2474.14233398438,79,197,17,0.215189873417722,17
18321_a,1398.78463745117,-2424.14233398438,59,248,17,0.288135593220339,17
18321_a,1398.78463745117,-2374.14233398438,38,284,15,0.394736842105263,15
18321_a,1398.78463745117,-2224.14233398438,35,120,9,0.257142857142857,9
18321_a,1398.78463745117,-2174.14233398438,34,65,7,0.205882352941176,7
18321_a,1448.78463745117,-2674.14233398438,110,7,8,0.0727272727272727,8
18321_a,1448.78463745117,-2624.14233398438,120,12,15,0.125,15
18321_a,1448.78463745117,-2574.14233398438,123,45,18,0.146341463414634,18
18321_a,1448.78463745117,-2524.14233398438,116,87,14,0.120689655172414,14
18321_a,1448.78463745117,-2474.14233398438,106,140,15,0.141509433962264,15
18321_a,1448.78463745117,-2424.14233398438,91,187,13,0.142857142857143,13
18321_a,1448.78463745117,-2374.14233398438,63,228,9,0.142857142857143,9
18321_a,1448.78463745117,-2324.14233398438,37,214,7,0.189189189189189,7
18321_a,1448.78463745117,-2224.14233398438,36,127,11,0.305555555555556,11
18321_a,1448.78463745117,-2174.14233398438,38,76,11,0.289473684210526,11
18321_a,1448.78463745117,-2124.14233398438,37,30,9,0.243243243243243,9
18321_a,1448.78463745117,-2074.14233398438,35,11,9,0.257142857142857,9
18321_a,1498.78463745117,-2674.14233398438,97,8,11,0.11340206185567,11
18321_a,1498.78463745117,-2624.14233398438,125,10,15,0.12,15
18321_a,1498.78463745117,-2574.14233398438,143,22,18,0.125874125874126,18
18321_a,1498.78463745117,-2524.14233398438,144,41,19,0.131944444444444,19
18321_a,1498.78463745117,-2474.14233398438,145,72,12,0.0827586206896552,12
18321_a,1498.78463745117,-2424.14233398438,125,94,11,0.088,11
18321_a,1498.78463745117,-2374.14233398438,87,126,9,0.103448275862069,9
18321_a,1498.78463745117,-2324.14233398438,61,133,6,0.0983606557377049,6
18321_a,1498.78463745117,-2274.14233398438,51,123,6,0.117647058823529,6
18321_a,1498.78463745117,-2224.14233398438,60,90,10,0.166666666666667,10
18321_a,1498.78463745117,-2174.14233398438,68,64,10,0.147058823529412,10
18321_a,1498.78463745117,-2124.14233398438,67,30,9,0.134328358208955,9
18321_a,1498.78463745117,-2074.14233398438,59,11,9,0.152542372881356,9
18321_a,1548.78463745117,-2574.14233398438,167,6,15,0.0898203592814371,15
18321_a,1548.78463745117,-2524.14233398438,176,7,16,0.0909090909090909,16
18321_a,1548.78463745117,-2474.14233398438,180,18,11,0.0611111111111111,11
18321_a,1548.78463745117,-2424.14233398438,163,28,11,0.0674846625766871,11
18321_a,1548.78463745117,-2374.14233398438,129,46,12,0.0930232558139535,12
18321_a,1548.78463745117,-2324.14233398438,100,59,9,0.09,9
18321_a,1548.78463745117,-2274.14233398438,95,66,9,0.0947368421052632,9
18321_a,1548.78463745117,-2224.14233398438,99,55,13,0.131313131313131,13
18321_a,1548.78463745117,-2174.14233398438,105,45,13,0.123809523809524,13
18321_a,1548.78463745117,-2124.14233398438,101,26,9,0.0891089108910891,9
18321_a,1548.78463745117,-2074.14233398438,86,10,9,0.104651162790698,9
18321_a,1598.78463745117,-2374.14233398438,169,17,8,0.0473372781065089,8
18321_a,1598.78463745117,-2324.14233398438,143,29,8,0.0559440559440559,8
18321_a,1598.78463745117,-2274.14233398438,128,33,8,0.0625,8
18321_a,1598.78463745117,-2224.14233398438,127,33,12,0.0944881889763779,12
18321_a,1598.78463745117,-2174.14233398438,137,32,12,0.0875912408759124,12
18321_a,1598.78463745117,-2124.14233398438,131,18,8,0.0610687022900763,8
18321_a,1598.78463745117,-2074.14233398438,109,6,8,0.073394495412844,8
18321_a,1648.78463745117,-2374.14233398438,188,8,3,0.0159574468085106,3
18321_a,1648.78463745117,-2324.14233398438,175,12,3,0.0171428571428571,3
18321_a,1648.78463745117,-2274.14233398438,163,13,3,0.0184049079754601,3
18321_a,1648.78463745117,-2224.14233398438,161,14,10,0.062111801242236,10
18321_a,1648.78463745117,-2174.14233398438,170,14,10,0.0588235294117647,10
18321_a,1648.78463745117,-2124.14233398438,165,6,7,0.0424242424242424,7
18321_a,1948.78463745117,-2274.14233398438,158,6,13,0.0822784810126582,13
18321_a,1948.78463745117,-2224.14233398438,150,6,17,0.113333333333333,17
18321_a,1948.78463745117,-2174.14233398438,155,5,13,0.0838709677419355,13
18321_a,1998.78463745117,-2274.14233398438,140,6,10,0.0714285714285714,10
18321_a,1998.78463745117,-2224.14233398438,131,6,14,0.106870229007634,14
18321_a,1998.78463745117,-2174.14233398438,133,5,10,0.075187969924812,10
18321_a,2048.78463745117,-2374.14233398438,168,5,7,0.0416666666666667,7
18321_a,2048.78463745117,-2324.14233398438,162,6,8,0.0493827160493827,8
18321_a,2048.78463745117,-2274.14233398438,144,7,9,0.0625,9
18321_a,2048.78463745117,-2224.14233398438,138,7,9,0.0652173913043478,9
18321_a,2048.78463745117,-2174.14233398438,137,6,4,0.0291970802919708,4
18321_a,2098.78463745117,-2374.14233398438,152,18,11,0.0723684210526316,11
18321_a,2098.78463745117,-2324.14233398438,158,20,15,0.0949367088607595,15
18321_a,2098.78463745117,-2274.14233398438,149,22,22,0.147651006711409,22
18321_a,2098.78463745117,-2224.14233398438,139,22,22,0.158273381294964,22
18321_a,2098.78463745117,-2174.14233398438,145,18,13,0.0896551724137931,13
18321_a,2148.78463745117,-2424.14233398438,131,5,5,0.0381679389312977,5
18321_a,2148.78463745117,-2374.14233398438,139,28,10,0.0719424460431655,10
18321_a,2148.78463745117,-2324.14233398438,162,29,13,0.0802469135802469,13
18321_a,2148.78463745117,-2274.14233398438,163,31,19,0.116564417177914,19
18321_a,2148.78463745117,-2224.14233398438,156,31,19,0.121794871794872,19
18321_a,2148.78463745117,-2174.14233398438,156,26,11,0.0705128205128205,11
18321_a,2198.78463745117,-2424.14233398438,108,7,5,0.0462962962962963,5
18321_a,2198.78463745117,-2374.14233398438,116,45,10,0.0862068965517242,10
18321_a,2198.78463745117,-2324.14233398438,148,54,20,0.135135135135135,20
18321_a,2198.78463745117,-2274.14233398438,158,55,26,0.164556962025316,26
18321_a,2198.78463745117,-2224.14233398438,163,55,26,0.159509202453988,26
18321_a,2198.78463745117,-2174.14233398438,166,48,18,0.108433734939759,18
18321_a,2198.78463745117,-2124.14233398438,184,10,16,0.0869565217391304,16
18321_a,2248.78463745117,-2424.14233398438,74,13,10,0.135135135135135,10
18321_a,2248.78463745117,-2374.14233398438,79,59,15,0.189873417721519,15
18321_a,2248.78463745117,-2324.14233398438,111,79,25,0.225225225225225,25
18321_a,2248.78463745117,-2274.14233398438,135,81,32,0.237037037037037,32
18321_a,2248.78463745117,-2224.14233398438,154,81,32,0.207792207792208,32
18321_a,2248.78463745117,-2174.14233398438,157,68,19,0.121019108280255,19
18321_a,2248.78463745117,-2124.14233398438,180,22,17,0.0944444444444444,17
18321_a,2298.78463745117,-2424.14233398438,46,14,10,0.217391304347826,10
18321_a,2298.78463745117,-2374.14233398438,50,60,14,0.28,14
18321_a,2298.78463745117,-2324.14233398438,76,85,25,0.328947368421053,25
18321_a,2298.78463745117,-2274.14233398438,102,100,32,0.313725490196078,32
18321_a,2298.78463745117,-2224.14233398438,119,109,35,0.294117647058824,35
18321_a,2298.78463745117,-2174.14233398438,136,95,23,0.169117647058824,23
18321_a,2298.78463745117,-2124.14233398438,164,49,21,0.128048780487805,21
