sample,x0,y0,n_hep,n_cd4,hep_with_cd4_contact,contact_frac,score
54023_b,1643.95310974121,-9883.63305664063,36,25,7,0.194444444444444,7
54023_b,1693.95310974121,-10833.6330566406,52,9,12,0.230769230769231,12
54023_b,1693.95310974121,-10783.6330566406,73,11,20,0.273972602739726,20
54023_b,1693.95310974121,-10733.6330566406,101,10,20,0.198019801980198,20
54023_b,1693.95310974121,-10683.6330566406,129,8,21,0.162790697674419,21
54023_b,1693.95310974121,-10633.6330566406,145,8,30,0.206896551724138,30
54023_b,1693.95310974121,-10583.6330566406,165,7,31,0.187878787878788,31
54023_b,1693.95310974121,-10483.6330566406,175,5,33,0.188571428571429,33
54023_b,1693.95310974121,-10433.6330566406,161,6,30,0.186335403726708,30
54023_b,1693.95310974121,-10383.6330566406,155,5,20,0.129032258064516,20
54023_b,1693.95310974121,-10333.6330566406,135,5,19,0.140740740740741,19
54023_b,1693.95310974121,-10283.6330566406,128,8,25,0.1953125,25
54023_b,1693.95310974121,-10233.6330566406,107,11,21,0.196261682242991,21
54023_b,1693.95310974121,-10183.6330566406,90,11,17,0.188888888888889,17
54023_b,1693.95310974121,-10133.6330566406,80,14,18,0.225,18
54023_b,1693.95310974121,-10083.6330566406,73,17,17,0.232876712328767,17
54023_b,1693.95310974121,-10033.6330566406,73,29,21,0.287671232876712,21
54023_b,1693.95310974121,-9983.63305664063,61,37,21,0.344262295081967,21
54023_b,1693.95310974121,-9933.63305664063,56,44,18,0.321428571428571,18
54023_b,1693.95310974121,-9883.63305664063,50,41,16,0.32,16
54023_b,1693.95310974121,-9833.63305664063,30,37,14,0.466666666666667,14
54023_b,1743.95310974121,-10833.6330566406,43,13,16,0.372093023255814,16
54023_b,1743.95310974121,-10783.6330566406,64,13,18,0.28125,18
54023_b,1743.95310974121,-10733.6330566406,96,12,18,0.1875,18
54023_b,1743.95310974121,-10683.6330566406,123,7,15,0.121951219512195,15
54023_b,1743.95310974121,-10633.6330566406,140,6,21,0.15,21
54023_b,1743.95310974121,-10383.6330566406,142,6,12,0.0845070422535211,12
54023_b,1743.95310974121,-10333.6330566406,113,7,12,0.106194690265487,12
54023_b,1743.95310974121,-10283.6330566406,105,11,17,0.161904761904762,17
54023_b,1743.95310974121,-10233.6330566406,83,14,12,0.144578313253012,12
54023_b,1743.95310974121,-10183.6330566406,69,16,11,0.159420289855072,11
54023_b,1743.95310974121,-10133.6330566406,64,17,13,0.203125,13
54023_b,1743.95310974121,-10083.6330566406,66,20,15,0.227272727272727,15
54023_b,1743.95310974121,-10033.6330566406,80,31,26,0.325,26
54023_b,1743.95310974121,-9983.63305664063,76,39,29,0.381578947368421,29
54023_b,1743.95310974121,-9933.63305664063,73,45,27,0.36986301369863,27
54023_b,1743.95310974121,-9883.63305664063,70,41,25,0.357142857142857,25
54023_b,1743.95310974121,-9833.63305664063,48,37,23,0.479166666666667,23
54023_b,1793.95310974121,-10833.6330566406,38,14,16,0.421052631578947,16
54023_b,1793.95310974121,-10783.6330566406,61,15,17,0.278688524590164,17
54023_b,1793.95310974121,-10733.6330566406,99,16,25,0.252525252525253,25
54023_b,1793.95310974121,-10683.6330566406,125,9,19,0.152,19
54023_b,1793.95310974121,-10633.6330566406,146,5,14,0.0958904109589041,14
54023_b,1793.95310974121,-10383.6330566406,123,7,12,0.0975609756097561,12
54023_b,1793.95310974121,-10333.6330566406,96,9,12,0.125,12
54023_b,1793.95310974121,-10283.6330566406,87,12,17,0.195402298850575,17
54023_b,1793.95310974121,-10233.6330566406,66,15,11,0.166666666666667,11
54023_b,1793.95310974121,-10183.6330566406,63,17,12,0.19047619047619,12
54023_b,1793.95310974121,-10133.6330566406,67,15,14,0.208955223880597,14
54023_b,1793.95310974121,-10083.6330566406,67,17,12,0.17910447761194,12
54023_b,1793.95310974121,-10033.6330566406,80,29,27,0.3375,27
54023_b,1793.95310974121,-9983.63305664063,84,37,31,0.369047619047619,31
54023_b,1793.95310974121,-9933.63305664063,85,43,25,0.294117647058824,25
54023_b,1793.95310974121,-9883.63305664063,79,41,25,0.316455696202532,25
54023_b,1793.95310974121,-9833.63305664063,66,37,23,0.348484848484849,23
54023_b,1793.95310974121,-9783.63305664062,40,22,5,0.125,5
54023_b,1843.95310974121,-10833.6330566406,39,13,11,0.282051282051282,11
54023_b,1843.95310974121,-10783.6330566406,66,13,12,0.181818181818182,12
54023_b,1843.95310974121,-10733.6330566406,100,15,20,0.2,20
54023_b,1843.95310974121,-10683.6330566406,133,8,19,0.142857142857143,19
54023_b,1843.95310974121,-10433.6330566406,127,5,4,0.031496062992126,4
54023_b,1843.95310974121,-10383.6330566406,102,10,7,0.0686274509803922,7
54023_b,1843.95310974121,-10333.6330566406,70,11,4,0.0571428571428571,4
54023_b,1843.95310974121,-10283.6330566406,63,15,9,0.142857142857143,9
54023_b,1843.95310974121,-10233.6330566406,48,18,11,0.229166666666667,11
54023_b,1843.95310974121,-10183.6330566406,53,19,12,0.226415094339623,12
54023_b,1843.95310974121,-10133.6330566406,59,18,14,0.23728813559322,14
54023_b,1843.95310974121,-10083.6330566406,68,20,14,0.205882352941176,14
54023_b,1843.95310974121,-10033.6330566406,79,29,23,0.291139240506329,23
54023_b,1843.95310974121,-9983.63305664063,88,35,29,0.329545454545455,29
54023_b,1843.95310974121,-9933.63305664063,90,42,26,0.288888888888889,26
54023_b,1843.95310974121,-9883.63305664063,94,38,26,0.276595744680851,26
54023_b,1843.95310974121,-9833.63305664063,85,34,24,0.282352941176471,24
54023_b,1843.95310974121,-9783.63305664062,61,21,10,0.163934426229508,10
54023_b,1843.95310974121,-9733.63305664063,44,11,2,0.0454545454545455,2
54023_b,1893.95310974121,-10833.6330566406,52,11,16,0.307692307692308,16
54023_b,1893.95310974121,-10783.6330566406,85,11,17,0.2,17
54023_b,1893.95310974121,-10733.6330566406,128,14,35,0.2734375,35
54023_b,1893.95310974121,-10683.6330566406,160,9,34,0.2125,34
