condition,from_label,to_label,mean_enrichm,mean_original,mean_p_higher_orig,mean_p_lower_orig,mean_PI_value,n_samples
AIH,IgM+ B cell,Stellate cell,0.128909336574685,977.5,0.004,0.9965,0.259547897035369,2
AIH,IgM+ B cell,Vascular endothelial cell,0.656180316120918,339.5,0,1,1.96854094836275,2
AIH,Macrophage 1,Macrophage 1,0.956355192450877,3655,0,1,2.86906557735263,2
AIH,Macrophage 1,Macrophage 2,-0.116365000653745,2806,0.7105,0.294,-0.357552416939526,2
AIH,Macrophage 1,Sinusoidal endothelial cell,0.267694820375253,1261,0.111,0.8945,0.760374482112145,2
AIH,Macrophage 1,Stellate cell,-0.218520267454618,2703,1,0,-0.655560802363854,2
AIH,Macrophage 1,Vascular endothelial cell,-1.3589822164251,304,1,0,-4.0769466492753,2
AIH,Macrophage 2,Macrophage 2,0.883444927839862,2349,0,1,2.65033478351959,2
AIH,Macrophage 2,Sinusoidal endothelial cell,-0.5021620707163,593,1,0,-1.5064862121489,2
AIH,Macrophage 2,Stellate cell,0.187771589533075,2917.5,0,1,0.563314768599224,2
AIH,Macrophage 2,Vascular endothelial cell,0.208689295756601,731.5,0.044,0.9585,0.548951801448541,2
AIH,Sinusoidal endothelial cell,Sinusoidal endothelial cell,1.37995828761819,384.5,0,1,4.13987486285457,2
AIH,Sinusoidal endothelial cell,Stellate cell,0.331788637191277,1160,0.2455,0.7625,0.994161430082043,2
AIH,Sinusoidal endothelial cell,Vascular endothelial cell,-1.47918858049157,76,1,0,-4.43756574147471,2
AIH,Stellate cell,Stellate cell,0.986109193863844,2711.5,0,1,2.95832758159153,2
AIH,Stellate cell,Vascular endothelial cell,0.525330530280834,927.5,0,1,1.5759915908425,2
AIH,Vascular endothelial cell,Vascular endothelial cell,3.33310442202903,833.5,0,1,9.99931326608708,2
irHepatitis,CD4+ T cell,CD4+ T cell,2.78913343020357,901,0,1,8.36740029061071,2
irHepatitis,CD4+ T cell,CD8+ T cell 1,0.923060019745198,616.5,0,1,2.76918005923559,2
irHepatitis,CD4+ T cell,CD8+ T cell 2,-1.56036768151138,12,0.9995,0.0015,-4.12411911951894,2
irHepatitis,CD4+ T cell,CD8+ T cell 3,0.293008730262013,57.5,0.499,0.5025,1.27624683333338,2
irHepatitis,CD4+ T cell,Cholangiocyte,-0.455474557420062,65.5,0.979,0.029,-1.1093452821222,2
irHepatitis,CD4+ T cell,Hepatocyte 1,-3.65432082642911,91,1,0,-10.9629624792873,2
irHepatitis,CD4+ T cell,Hepatocyte 2,-4.23694455303976,43,1,0,-12.7108336591193,2
irHepatitis,CD4+ T cell,Hepatocyte 3,-4.10697924618292,22.5,1,0,-12.3209377385488,2
irHepatitis,CD4+ T cell,Hepatocyte 4,-3.48979070485741,3,1,0,-10.4693721145722,2
irHepatitis,CD4+ T cell,Ig+ hepatocyte,-0.799267048741156,0.5,0.956,0.3755,-0.094109566791319,2
irHepatitis,CD4+ T cell,IgG+ B cell,0.991646702542413,78,0.0035,0.998,2.5405367441468,2
irHepatitis,CD4+ T cell,IgG+ plasmablast / plasma cell,1.32391775729612,51.5,0,1,3.97175327188836,2
irHepatitis,CD4+ T cell,IgM+ B cell,2.4646191036448,345.5,0,1,7.3938573109344,2
irHepatitis,CD4+ T cell,Macrophage 1,-0.707922868675007,257.5,0.5075,0.4935,-2.25230652637001,2
irHepatitis,CD4+ T cell,Macrophage 2,0.874533155902913,545.5,0,1,2.62359946770874,2
irHepatitis,CD4+ T cell,Sinusoidal endothelial cell,-3.86787714703376,14,1,0,-11.6036314411013,2
irHepatitis,CD4+ T cell,Stellate cell,0.0973953868436439,471.5,0.3485,0.6615,0.353383607291218,2
irHepatitis,CD4+ T cell,Vascular endothelial cell,0.555214793249999,306,0,1,1.66564437975,2
irHepatitis,CD8+ T cell 1,CD8+ T cell 1,1.11363948285134,516,0,1,3.34091844855402,2
irHepatitis,CD8+ T cell 1,CD8+ T cell 2,0.826050694717686,92,0,1,2.47815208415306,2
irHepatitis,CD8+ T cell 1,CD8+ T cell 3,1.02859801974391,120,0,1,3.08579405923173,2
irHepatitis,CD8+ T cell 1,Cholangiocyte,-0.012753280149629,138.5,0.4955,0.508,0.114011770059336,2
irHepatitis,CD8+ T cell 1,Hepatocyte 1,-0.693469869860577,986,1,0,-2.08040960958173,2
irHepatitis,CD8+ T cell 1,Hepatocyte 2,-0.824873658833966,605.5,1,0,-2.4746209765019,2
irHepatitis,CD8+ T cell 1,Hepatocyte 3,-0.921369009469909,293.5,1,0,-2.76410702840973,2
irHepatitis,CD8+ T cell 1,Hepatocyte 4,-0.694785505219851,39,0.971,0.04,-1.76740720825347,2
irHepatitis,CD8+ T cell 1,Ig+ hepatocyte,-1.13256990235528,0.5,0.9955,0.241,-0.628127982314688,2
irHepatitis,CD8+ T cell 1,IgG+ B cell,0.507979560667736,72,0.0385,0.9695,1.28089009473555,2
irHepatitis,CD8+ T cell 1,IgG+ plasmablast / plasma cell,0.183727349129888,46,0.3075,0.7595,0.366802847424509,2
irHepatitis,CD8+ T cell 1,IgM+ B cell,0.541972854645058,136,5e-04,0.9995,1.45415218031117,2
irHepatitis,CD8+ T cell 1,Macrophage 1,0.686146358443828,853,0,1,2.05843907533148,2
irHepatitis,CD8+ T cell 1,Macrophage 2,0.560905410068656,626,0,1,1.68271623020597,2
irHepatitis,CD8+ T cell 1,Sinusoidal endothelial cell,-0.771347631789631,177,1,0,-2.31404289536889,2
irHepatitis,CD8+ T cell 1,Stellate cell,-0.0546220001334453,534,0.749,0.2615,-0.0471846871533785,2
irHepatitis,CD8+ T cell 1,Vascular endothelial cell,-0.0309224305012155,254.5,0.5095,0.492,-0.272266632337636,2
irHepatitis,CD8+ T cell 2,CD8+ T cell 2,1.8805241352003,14,0,1,5.64157240560091,2
irHepatitis,CD8+ T cell 2,CD8+ T cell 3,1.17986205074396,16,0.0015,1,2.97032291613118,2
irHepatitis,CD8+ T cell 2,Cholangiocyte,1.02346140520393,31.5,0.0205,0.988,2.49112273196277,2
irHepatitis,CD8+ T cell 2,Hepatocyte 1,0.0469247163422235,208,0.4975,0.5025,0.301969510333517,2
irHepatitis,CD8+ T cell 2,Hepatocyte 2,-0.105560739912694,117,0.617,0.3945,-0.206140068010062,2
irHepatitis,CD8+ T cell 2,Hepatocyte 3,-0.57823117513981,44,0.92,0.1015,-1.50062824468235,2
irHepatitis,CD8+ T cell 2,Hepatocyte 4,-0.275938896486779,7.5,0.607,0.502,-0.129418572694544,2
irHepatitis,CD8+ T cell 2,Ig+ hepatocyte,-0.294043438983658,0,1,0.8005,0.000127637634804197,2
irHepatitis,CD8+ T cell 2,IgG+ B cell,-0.80418297987186,3.5,0.8455,0.2635,-0.521429022828332,2
irHepatitis,CD8+ T cell 2,IgG+ plasmablast / plasma cell,-1.50054729509579,0.5,0.906,0.2545,-2.08638066743937,2
irHepatitis,CD8+ T cell 2,IgM+ B cell,-1.71866806837548,2.5,0.9995,0.00550000000000001,-3.19014509229828,2
irHepatitis,CD8+ T cell 2,Macrophage 1,0.548047634032146,88,5e-04,0.9995,1.49748614344627,2
irHepatitis,CD8+ T cell 2,Macrophage 2,-0.0427141949917053,47,0.5185,0.4925,-0.105952322439761,2
irHepatitis,CD8+ T cell 2,Sinusoidal endothelial cell,-0.658588127398,26.5,0.8585,0.1655,-1.81177937221137,2
irHepatitis,CD8+ T cell 2,Stellate cell,-0.78600497749583,38.5,0.997,0.0035,-1.9239055391586,2
irHepatitis,CD8+ T cell 2,Vascular endothelial cell,-1.48893972049444,10,0.978,0.0325,-3.74728199831764,2
irHepatitis,CD8+ T cell 3,CD8+ T cell 3,2.61960612531475,27.5,0,1,7.85881837594424,2
irHepatitis,CD8+ T cell 3,Cholangiocyte,1.00210414280762,42.5,0.1535,0.8995,2.66764367276208,2
irHepatitis,CD8+ T cell 3,Hepatocyte 1,-1.04833258625212,105,0.995,0.00600000000000001,-2.9734221194353,2
irHepatitis,CD8+ T cell 3,Hepatocyte 2,-1.25352222012068,55,1,0,-3.76056666036204,2
irHepatitis,CD8+ T cell 3,Hepatocyte 3,-1.50635023618843,24,1,0,-4.51905070856528,2
irHepatitis,CD8+ T cell 3,Hepatocyte 4,0.816675944176987,13.5,0.112,0.9295,1.9245121680096,2
irHepatitis,CD8+ T cell 3,Ig+ hepatocyte,-0.383105054498898,0,1,0.7425,0.000166297276371094,2
irHepatitis,CD8+ T cell 3,IgG+ B cell,1.1582361395084,15.5,0.001,0.9995,2.74909474268971,2
irHepatitis,CD8+ T cell 3,IgG+ plasmablast / plasma cell,-0.337914437741425,5.5,0.559,0.5995,0.0149257604451013,2
irHepatitis,CD8+ T cell 3,IgM+ B cell,-0.544536916753307,15,0.501,0.5075,-0.51704396453417,2
irHepatitis,CD8+ T cell 3,Macrophage 1,0.736470432702677,108,0,1,2.20941129810803,2
irHepatitis,CD8+ T cell 3,Macrophage 2,0.562369462772257,79,0.00900000000000001,0.994,1.32098063591065,2
irHepatitis,CD8+ T cell 3,Sinusoidal endothelial cell,-1.07496944832685,19.5,0.9345,0.0895,-2.87361511453085,2
irHepatitis,CD8+ T cell 3,Stellate cell,-0.413393428890726,52,0.967,0.043,-0.780142924287922,2
irHepatitis,CD8+ T cell 3,Vascular endothelial cell,0.15793931069003,36,0.497,0.505,0.61918408073512,2
irHepatitis,Cholangiocyte,Cholangiocyte,4.31057794702885,375,0,1,12.9317338410865,2
irHepatitis,Cholangiocyte,Hepatocyte 1,-1.65611263305158,141.5,1,0,-4.96833789915474,2
irHepatitis,Cholangiocyte,Hepatocyte 2,-1.67124519085573,93,1,0,-5.0137355725672,2
irHepatitis,Cholangiocyte,Hepatocyte 3,-1.7263780956477,45.5,1,0,-5.17913428694311,2
irHepatitis,Cholangiocyte,Hepatocyte 4,-2.1029145573827,4,0.9955,0.0105,-5.43507891841569,2
irHepatitis,Cholangiocyte,Ig+ hepatocyte,-0.731591495209917,0,1,0.5495,-0.125266752172623,2
irHepatitis,Cholangiocyte,IgG+ B cell,-0.30437709485691,15,0.6675,0.4055,-0.156438277147996,2
irHepatitis,Cholangiocyte,IgG+ plasmablast / plasma cell,-1.29646417514406,5.5,0.9825,0.068,-1.0033367918917,2
