cluster_from,cluster_to,AIH,irHepatitis,diff
4,12,-0.650847510979249,-0.870128795623009,-0.21928128464376
13,21,0,-0.215766468517598,-0.215766468517598
21,13,0,-0.215766468517598,-0.215766468517598
19,21,0,-0.205804882051838,-0.205804882051838
21,17,0,-0.205804882051838,-0.205804882051838
21,19,0,-0.205804882051838,-0.205804882051838
12,10,-0.836715255548126,-0.63253559514408,0.204179660404046
12,8,-1.37294428927771,-1.57310590791124,-0.200161618633528
4,3,-1.30374657104669,-1.10403704345086,0.199709527595822
10,2,-1.64505586724321,-1.83659996145031,-0.1915440942071
20,7,-1.80029871625642,-1.99039064645958,-0.19009193020316
11,12,-1.88051018469541,-1.69327597511964,0.187234209575777
8,12,-0.517139015626609,-0.704350441189495,-0.187211425562887
9,17,-2.76136869679964,-2.9463884875615,-0.18501979076186
14,7,-0.64218962161211,-0.457595645876799,0.18459397573531
21,15,0,0.184297296011436,0.184297296011436
4,4,0.0894610938244109,-0.0945582818690928,-0.184019375693504
3,15,-0.440120902942343,-0.621805202700338,-0.181684299757995
12,7,-1.46431453687542,-1.64429969872769,-0.17998516185227
18,8,-3.15450619457689,-2.97851949838001,0.175986696196873
10,9,-3.02427841919511,-2.85045077266393,0.173827646531182
15,8,-3.17310370530423,-2.99939045524985,0.173713250054386
15,18,-0.140467918937847,-0.307770204069542,-0.167302285131694
9,18,-3.33280064744685,-3.16950221414144,0.163298433305406
16,18,-4.31775469521196,-4.47870232115275,-0.160947625940789
21,5,0,-0.157775805501093,-0.157775805501093
8,1,-2.98080977446132,-2.82821392150386,0.15259585295746
4,10,-1.92104664754038,-2.06601781990728,-0.144971172366904
7,17,-2.73342711686837,-2.58940216820632,0.14402494866205
10,12,-0.106322315305406,-0.250023999386684,-0.143701684081278
21,12,0,0.141146974320497,0.141146974320497
8,14,-0.87038971657797,-0.730912683805707,0.139477032772262
4,15,-2.08317946617308,-1.94411393847195,0.139065527701135
13,10,-2.24030910080493,-2.37835016160242,-0.138041060797491
18,11,-0.0946228505347645,-0.230049005459617,-0.135426154924852
1,16,-3.63022501671976,-3.76263390979263,-0.132408893072872
12,9,-2.15183863900315,-2.02364254789607,0.128196091107073
4,2,-1.23203472992454,-1.3602054389807,-0.128170709056163
10,14,-2.60747008187386,-2.73552014051272,-0.128050058638859
12,5,-0.866156784190641,-0.989637241943633,-0.123480457752992
4,8,-1.62626124747846,-1.50463294165634,0.121628305822118
4,5,-0.85890642955892,-0.73778397185464,0.121122457704279
9,21,0,-0.120886545288427,-0.120886545288427
21,9,0,-0.120886545288427,-0.120886545288427
15,11,-0.349499579022568,-0.230946631986872,0.118552947035696
1,11,-0.22122777776675,-0.110110158528898,0.111117619237852
5,4,-0.819852166023287,-0.710127628951775,0.109724537071511
18,5,-1.64984412724705,-1.54303348799796,0.106810639249089
17,20,-0.726075923637824,-0.61979202145714,0.106283902180685
6,16,-4.02649899226484,-4.13067769041839,-0.104178698153548
6,21,0,-0.104113059576925,-0.104113059576925
4,7,-1.049508821651,-0.94794899958905,0.101559822061946
3,4,-1.10173864780998,-1.00259177989132,0.099146867918658
9,20,-0.287199937537077,-0.385055535696558,-0.0978555981594806
4,18,-2.31680934464002,-2.41223555549293,-0.0954262108529167
10,13,-2.04766402286253,-2.14131096430157,-0.0936469414390384
3,7,-1.77838235341821,-1.69073760382643,0.0876447495917858
19,4,-0.961762330680112,-1.04112663529332,-0.0793643046132107
14,18,-4.66981663248712,-4.59077720854917,0.0790394239379504
5,1,-2.74879740748925,-2.82476425791213,-0.0759668504228812
13,11,-3.03460891385277,-2.95881183808978,0.0757970757629938
15,2,-0.991056010212784,-0.930906787654856,0.0601492225579281
5,6,-2.57345660472315,-2.51858076585845,0.0548758388646968
20,8,-1.06609196713884,-1.11616669631311,-0.0500747291742725
